scaling_factor,dataset:0,dataset:1,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,mean
0.7000000000000001,glue-cola,glue-mnli,0.9719745222929936,0.9358163864507355,0.0,0.0,0.2415254237288135,0.0,0.0,0.30704519035322037
1.0,glue-cola,glue-mrpc,1.0076433121019108,0.0,0.9257142857142857,0.0,0.0,0.0,0.0,0.27619394254517093
0.95,glue-cola,glue-qqp,1.0165605095541401,0.0,0.0,1.020378183889004,0.0,0.0,0.0,0.2909912419204491
0.8,glue-cola,glue-rte,0.9834394904458598,0.007583601186796885,0.0,0.0,0.9661016949152543,0.0,0.0,0.27958925522113015
0.4,glue-cola,glue-sst2,0.9248407643312101,0.0,0.0,0.0,0.0,0.9791154791154792,0.0,0.2719937490638128
0.8500000000000001,glue-cola,glue-stsb,0.9987261146496815,0.0,0.0,0.0,0.0,0.0,0.9816135304754137,0.2829056635892993
0.5,glue-mnli,glue-mrpc,0.0,0.7955197644949932,0.9714285714285715,0.0,0.12288135593220335,0.03194103194103185,0.0,0.2745386748281143
0.65,glue-mnli,glue-qqp,0.0,0.9578088298924465,0.0,1.0248633627192854,0.4533898305084746,0.0,0.0,0.34800886044574375
0.9,glue-mnli,glue-rte,0.0,1.005585517369267,0.0,0.0,0.7754237288135593,0.0,0.0,0.25442989231183233
0.7000000000000001,glue-mnli,glue-sst2,0.0,0.9282327852639387,0.0,0.0,0.4152542372881355,0.9864864864864866,0.0,0.3328533584340801
0.6000000000000001,glue-mnli,glue-stsb,0.0,0.5172016009395476,0.0,0.0,0.0,0.0,0.9711150284935531,0.2126166613475858
0.95,glue-mrpc,glue-qqp,0.0,0.0,0.8400000000000001,0.8095747788657811,0.0,0.0,0.0,0.23565353983796872
1.0,glue-mrpc,glue-rte,0.0,0.0,0.8857142857142857,0.0,0.0,0.0,0.0,0.12653061224489795
0.75,glue-mrpc,glue-sst2,0.0,0.0,1.0114285714285716,0.0,0.0,0.9901719901719901,0.0,0.2859429373715088
0.6000000000000001,glue-mrpc,glue-stsb,0.0,0.0,0.9857142857142858,0.0,0.0,0.0,0.9270245951433647,0.2732484115510929
0.4,glue-qqp,glue-rte,0.0,0.0,0.0,0.7856538251042807,0.7669491525423728,0.0,0.0,0.22180042537809339
0.7000000000000001,glue-qqp,glue-sst2,0.0,0.0,0.0,1.0315911309647072,0.0,0.9963144963144964,0.0,0.2897008038970291
1.0,glue-qqp,glue-stsb,0.0,0.0,0.0,0.919461660207674,0.0,0.0,0.9451440378795744,0.26637224258389264
1.0,glue-rte,glue-sst2,0.0,0.1243710594634689,0.0,0.0,0.9788135593220338,0.9963144963144964,0.0,0.29992844501428556
1.0,glue-rte,glue-stsb,0.0,0.0,0.0,0.0,0.2754237288135593,0.0,0.9264836409237989,0.17170105281962258
1.0,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.998771498771499,0.9810696980574143,0.28283445668984475
