scaling_factor,k,dataset:0,dataset:1,dataset:2,dataset:3,dataset:4,dataset:5,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,mean
1.0,0.5,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,0.1208053691275167,0.038125,0.0955882352941176,0.010625,0.0974729241877256,0.6857798165137615,,0.14977090644616023
1.0,0.75,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-stsb,0.0,0.095,0.0024509803921568,0.0,0.3537906137184115,0.0,,0.06446308487293832
1.0,0.5,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-sst2,glue-stsb,0.209012464046021,0.08875,0.0,0.000625,0.0,0.7786697247706422,0.1532940808542935,0.17576446709585095
1.0,0.5,glue-cola,glue-mnli,glue-mrpc,glue-rte,glue-sst2,glue-stsb,0.3077660594439118,0.28,0.0024509803921568,0.0,0.4657039711191336,0.4747706422018348,,0.218670236165291
1.0,0.5,glue-cola,glue-mnli,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.1898370086289549,0.30875,0.0,0.0,0.2093862815884476,0.7006880733944955,,0.20123733765884255
1.0,0.5,glue-cola,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.0239693192713326,0.0,0.1176470588235294,0.039375,0.0,0.3589449541284403,0.0609878317174603,0.08584630913439464
1.0,0.75,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.0,0.080625,0.0024509803921568,0.0,0.3646209386281588,0.1674311926605504,,0.087875444525838
