scaling_factor,dataset:0,dataset:1,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,mean
0.6000000000000001,glue-cola,glue-mnli,0.9197452229299363,0.5915208925701569,0.0,0.0,0.08898305084745757,0.013513513513513441,0.0,0.23053752569443775
1.0,glue-cola,glue-mrpc,0.8369426751592356,0.0,0.23428571428571424,0.0,0.0,0.0,0.0,0.15303262706356427
1.0,glue-cola,glue-qqp,0.6050955414012739,0.0,0.0,0.6533410496109813,0.0,0.0,0.0,0.1797766558588936
0.55,glue-cola,glue-rte,0.8942675159235668,0.0,0.0,0.0,0.2457627118644067,0.0,0.0,0.16286146111256763
0.95,glue-cola,glue-sst2,0.8764331210191082,0.0,0.0,0.0,0.0,0.9742014742014743,0.0,0.2643763707457975
0.7000000000000001,glue-cola,glue-stsb,0.9095541401273886,0.0,0.0,0.0,0.0,0.0,0.9325738182498114,0.26316113691102855
0.6000000000000001,glue-mnli,glue-mrpc,0.0,0.6173051366052664,0.9171428571428571,0.0,0.21186440677966092,0.004914004914004858,0.0,0.25017520077739847
0.65,glue-mnli,glue-qqp,0.0,0.8175122079367041,0.0,0.7759359376386712,0.28389830508474573,0.0012285012285011344,0.0,0.26836785026980314
0.8500000000000001,glue-mnli,glue-rte,0.0,0.9130655828903448,0.0,0.0,0.5889830508474576,0.0,0.0,0.2145783762482575
0.6000000000000001,glue-mnli,glue-sst2,0.0,0.4565327914451724,0.0,0.0,0.11016949152542369,0.9754299754299756,0.0,0.2203046083429388
0.5,glue-mnli,glue-stsb,0.0,0.11223729756459389,0.0,0.0,0.15677966101694912,0.0,0.8686544127414332,0.16252448161756802
0.55,glue-mrpc,glue-qqp,0.0,0.0,0.34571428571428575,0.7811686462739993,0.0,0.0,0.0,0.16098327599832643
0.9,glue-mrpc,glue-rte,0.0,0.0,0.5057142857142858,0.0,0.4957627118644068,0.0,0.0,0.1430681425112418
0.9,glue-mrpc,glue-sst2,0.0,0.0,0.9085714285714286,0.0,0.0,0.9742014742014743,0.0,0.2689675575389861
0.6000000000000001,glue-mrpc,glue-stsb,0.0,0.0,0.6371428571428571,0.0,0.0,0.0,0.8306110785277053,0.2096791336672232
0.5,glue-qqp,glue-rte,0.0,0.0,0.0,0.7692081693932491,0.5254237288135593,0.0,0.0,0.18494741402954404
0.75,glue-qqp,glue-sst2,0.0,0.0,0.0,0.9306746072833771,0.0,0.9840294840294842,0.0,0.2735291559018373
0.75,glue-qqp,glue-stsb,0.0,0.0,0.0,0.7460347454367956,0.0,0.0,0.9168251886016326,0.2375514191483469
0.75,glue-rte,glue-sst2,0.0,0.0,0.0,0.0,0.7203389830508474,0.9766584766584767,0.0,0.24242820852990343
0.5,glue-rte,glue-stsb,0.0,0.0,0.0,0.0,0.28389830508474573,0.0,0.838383818961691,0.16032601772091953
0.65,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.9877149877149879,0.8554214445084716,0.2633052046033514
