scaling_factor,dataset:0,dataset:1,dataset:2,dataset:3,dataset:4,dataset:5,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,mean
0.3,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,0.17707006369426753,0.20703231239955494,0.23999999999999994,0.689222480253232,0.733050847457627,0.515970515970516,0.0,0.36604945996788535
0.35,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-stsb,0.0,0.27300964272468786,0.19142857142857145,0.4716913069845871,0.75,0.0,0.0,0.24087564587683521
0.3,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-sst2,glue-stsb,0.5095541401273885,0.11678745827667203,0.23142857142857134,0.05008449693814159,0.012711864406779553,0.805896805896806,0.7012476651209838,0.3468158574564776
0.3,glue-cola,glue-mnli,glue-mrpc,glue-rte,glue-sst2,glue-stsb,0.443312101910828,0.4095144640870318,0.1485714285714285,0.0,0.7627118644067796,0.41400491400491396,0.0995076199249495,0.3253746275579902
0.45,glue-cola,glue-mnli,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.40254777070063696,0.4883839164297194,0.0,0.13231277549329942,0.9576271186440678,0.3820638820638821,0.04765780274984031,0.3443704665830637
0.65,glue-cola,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.003821656050955383,0.0,0.7257142857142858,0.6937076590835133,0.004237288135593106,0.0,0.560955784823191,0.28406238197250555
0.3,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.0,0.3215446903201879,0.2571428571428571,0.38198773037896044,0.826271186440678,0.3304668304668305,0.0,0.30248761353564485
