scaling_factor,dataset:0,dataset:1,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,mean
0.6000000000000001,glue-cola,glue-mnli,0.6500479386385427,0.20625,0.0,0.0,0.0,0.1766055045871559,,0.1475576347465284
0.55,glue-cola,glue-mrpc,0.6845637583892618,0.0,0.0,0.0,0.0,0.0344036697247706,,0.10270963258771891
0.75,glue-cola,glue-qqp,0.6673058485139022,0.0,0.0,0.566875,0.0,0.0,,0.1763115497877003
0.55,glue-cola,glue-rte,0.6788111217641419,0.0,0.0,0.0,0.223826714801444,0.0011467889908256,,0.12911208936520166
0.45,glue-cola,glue-sst2,0.660594439117929,0.0,0.0,0.0,0.0,0.8371559633027523,,0.2139643432029545
0.75,glue-cola,glue-stsb,0.6912751677852349,0.0,0.0,0.0,0.0,0.0011467889908256,0.59299054917483,0.18363035799298436
1.0,glue-mnli,glue-mrpc,0.0,0.31625,0.5490196078431373,0.0,0.3393501805054151,0.0022935779816513,,0.1724161951900291
0.8500000000000001,glue-mnli,glue-qqp,0.0,0.3375,0.0,0.66875,0.0144404332129963,0.0,,0.14581291903042806
1.0,glue-mnli,glue-rte,0.0,0.4425,0.0,0.0,0.6353790613718412,0.0,,0.15398272305312016
0.8,glue-mnli,glue-sst2,0.0,0.27875,0.0,0.0,0.003610108303249,0.893348623853211,,0.16795839030806572
1.0,glue-mnli,glue-stsb,0.0,0.440625,0.0,0.0,0.0,0.0,0.616953592082092,0.1510826560117274
1.0,glue-mrpc,glue-qqp,0.0,0.0,0.678921568627451,0.78125,0.0,0.0,0.0179036976425067,0.21115360946713682
0.7000000000000001,glue-mrpc,glue-rte,0.0,0.0,0.0024509803921568,0.0,0.6678700361010831,0.0,,0.09576014521331999
1.0,glue-mrpc,glue-sst2,0.0,0.000625,0.2450980392156862,0.0,0.0,0.9094036697247706,,0.16501810127720812
1.0,glue-mrpc,glue-stsb,0.0,0.0,0.0269607843137254,0.0,0.0,0.0,0.5682231517397583,0.08502627657906911
0.6000000000000001,glue-qqp,glue-rte,0.0,0.0,0.0,0.6375,0.5667870036101083,0.0,,0.17204100051572974
1.0,glue-qqp,glue-sst2,0.0,0.000625,0.0,0.760625,0.0,0.9036697247706422,,0.2378456749672346
1.0,glue-qqp,glue-stsb,0.0,0.0,0.0,0.678125,0.0,0.0,0.6209407101359926,0.18558081573371324
1.0,glue-rte,glue-sst2,0.0,0.0,0.0,0.0,0.4368231046931408,0.911697247706422,,0.19264576462850896
0.7000000000000001,glue-rte,glue-stsb,0.0,0.0,0.0,0.0,0.259927797833935,0.0,0.6524341366562665,0.1303374192128859
0.8,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.8681192660550459,0.5738744250752977,0.20599909873290626
