scaling_factor,dataset:0,dataset:1,dataset:2,dataset:3,dataset:4,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb
0.9,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-sst2,0.3000958772770853,0.02125,0.7328431372549019,0.399375,0.0,0.0011467889908256881,
0.9500000000000001,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-sst2,0.28954937679769893,0.014375,0.7475490196078431,0.42375,0.0,0.0,
1.0,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-sst2,0.28475551294343243,0.01,0.7745098039215687,0.44625,0.0,0.0,
0.0,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.05,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.1,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.15000000000000002,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-stsb,0.01821668264621285,0.0,0.0,0.0,0.0,0.0,
0.2,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-stsb,0.2464046021093001,0.0,0.0,0.0,0.0,0.0022935779816513763,0.08081348206838271
0.25,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-stsb,0.40172579098753597,0.00375,0.01715686274509804,0.000625,0.0036101083032490976,0.005733944954128441,0.4953700635241847
0.30000000000000004,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-stsb,0.3346116970278044,0.023125,0.2181372549019608,0.05,0.04332129963898917,0.0022935779816513763,0.6553100431284535
0.35000000000000003,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-stsb,0.24161073825503357,0.038125,0.2622549019607843,0.111875,0.05415162454873646,0.0,0.6861840525723398
0.4,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-stsb,0.15436241610738255,0.048125,0.29901960784313725,0.120625,0.018050541516245487,0.0,0.6776956233584744
0.45,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-stsb,0.09108341323106424,0.0275,0.35784313725490197,0.116875,0.0,0.0,0.6629652039537948
