scaling_factor,dataset:0,dataset:1,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb
1.0,glue-cola,glue-qqp,0.4554170661553212,0.0,0.0,0.54625,0.0,0.0,
0.0,glue-cola,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.05,glue-cola,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.1,glue-cola,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.15000000000000002,glue-cola,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.2,glue-cola,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,glue-cola,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.30000000000000004,glue-cola,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.35000000000000003,glue-cola,glue-rte,0.003835091083413231,0.0,0.0,0.0,0.0,0.0,
0.4,glue-cola,glue-rte,0.1955896452540748,0.0,0.0,0.0,0.0,0.0,
0.45,glue-cola,glue-rte,0.5714285714285714,0.0,0.0,0.0,0.0036101083032490976,0.0,
0.5,glue-cola,glue-rte,0.663470757430489,0.0,0.0,0.0,0.10108303249097472,0.0,
0.55,glue-cola,glue-rte,0.673058485139022,0.0,0.0,0.0,0.20938628158844766,0.0,
0.6000000000000001,glue-cola,glue-rte,0.6807286673058485,0.0,0.0,0.0,0.1624548736462094,0.0,
0.65,glue-cola,glue-rte,0.675934803451582,0.0,0.0,0.0,0.05776173285198556,0.0,
0.7000000000000001,glue-cola,glue-rte,0.660594439117929,0.0,0.0,0.0,0.007220216606498195,0.0,
0.75,glue-cola,glue-rte,0.585810162991371,0.0,0.0,0.0,0.0,0.0,
0.8,glue-cola,glue-rte,0.5186960690316395,0.0,0.0,0.0,0.0,0.0,
0.8500000000000001,glue-cola,glue-rte,0.4707574304889741,0.0,0.0,0.0,0.0,0.0,
0.9,glue-cola,glue-rte,0.439117929050815,0.0,0.0,0.0,0.0,0.0,
0.9500000000000001,glue-cola,glue-rte,0.41227229146692235,0.0,0.0,0.0,0.0,0.0,
1.0,glue-cola,glue-rte,0.39022051773729627,0.0,0.0,0.0,0.0,0.0,
0.0,glue-cola,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.05,glue-cola,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.1,glue-cola,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.15000000000000002,glue-cola,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.2,glue-cola,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,glue-cola,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.005733944954128441,
0.30000000000000004,glue-cola,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.09059633027522936,
0.35000000000000003,glue-cola,glue-sst2,0.052732502396931925,0.0,0.0,0.0,0.0,0.536697247706422,
0.4,glue-cola,glue-sst2,0.36720997123681687,0.0,0.0,0.0,0.0,0.8577981651376146,
0.45,glue-cola,glue-sst2,0.4899328859060403,0.0,0.0,0.0,0.0,0.8876146788990825,
0.5,glue-cola,glue-sst2,0.5263662511984659,0.0,0.0,0.0,0.0,0.9013761467889908,
0.55,glue-cola,glue-sst2,0.5273250239693192,0.0,0.0,0.0,0.0,0.9105504587155964,
0.6000000000000001,glue-cola,glue-sst2,0.5474592521572388,0.0,0.0,0.0,0.0,0.9162844036697247,
0.65,glue-cola,glue-sst2,0.5551294343240653,0.0,0.0,0.0,0.0,0.9162844036697247,
0.7000000000000001,glue-cola,glue-sst2,0.5580057526366251,0.0,0.0,0.0,0.0,0.9162844036697247,
0.75,glue-cola,glue-sst2,0.5838926174496645,0.0,0.0,0.0,0.0,0.9162844036697247,
0.8,glue-cola,glue-sst2,0.6078619367209971,0.0,0.0,0.0,0.0,0.9174311926605505,
0.8500000000000001,glue-cola,glue-sst2,0.6222435282837967,0.0,0.0,0.0,0.0,0.9128440366972477,
0.9,glue-cola,glue-sst2,0.6433365292425696,0.0,0.0,0.0,0.0,0.911697247706422,
0.9500000000000001,glue-cola,glue-sst2,0.6596356663470757,0.0,0.0,0.0,0.0,0.9094036697247706,
1.0,glue-cola,glue-sst2,0.6720997123681688,0.0,0.0,0.0,0.0,0.8853211009174312,
0.0,glue-cola,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.05,glue-cola,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.1,glue-cola,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.15000000000000002,glue-cola,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.2,glue-cola,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,glue-cola,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.30000000000000004,glue-cola,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.35000000000000003,glue-cola,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.4,glue-cola,glue-stsb,0.05656759348034516,0.0,0.0,0.0,0.0,0.0,0.02024246503159779
0.45,glue-cola,glue-stsb,0.38638542665388304,0.0,0.0,0.0,0.0,0.0,0.25977497569832014
0.5,glue-cola,glue-stsb,0.6423777564717162,0.0,0.0,0.0,0.0,0.0,0.6743437563980622
0.55,glue-cola,glue-stsb,0.6768935762224353,0.0,0.0,0.0,0.0,0.0,0.7999881237627369
0.6000000000000001,glue-cola,glue-stsb,0.6874400767018217,0.0,0.0,0.0,0.0,0.0,0.8310144100266327
0.65,glue-cola,glue-stsb,0.6864813039309684,0.0,0.0,0.0,0.0,0.0,0.8333459760096796
0.7000000000000001,glue-cola,glue-stsb,0.6845637583892618,0.0,0.0,0.0,0.0,0.0,0.843592070517582
0.75,glue-cola,glue-stsb,0.6874400767018217,0.0,0.0,0.0,0.0,0.0,0.8343476914273903
0.8,glue-cola,glue-stsb,0.6883988494726749,0.0,0.0,0.0,0.0,0.0,0.8120820869176242
0.8500000000000001,glue-cola,glue-stsb,0.6874400767018217,0.0,0.0,0.0,0.0,0.0,0.7695705214044037
0.9,glue-cola,glue-stsb,0.6922339405560882,0.0,0.0,0.0,0.0,0.0,0.6861407869396703
0.9500000000000001,glue-cola,glue-stsb,0.6922339405560882,0.0,0.0,0.0,0.0,0.0,0.5868106628043811
1.0,glue-cola,glue-stsb,0.6903163950143816,0.0,0.0,0.0,0.0,0.0,0.4891967285591359
0.0,glue-mnli,glue-mrpc,0.0,0.0,0.0,0.0,0.0,0.0,
0.05,glue-mnli,glue-mrpc,0.0,0.0,0.0,0.0,0.0,0.0,
0.1,glue-mnli,glue-mrpc,0.0,0.0,0.0,0.0,0.0,0.0,
0.15000000000000002,glue-mnli,glue-mrpc,0.0,0.0,0.0,0.0,0.0,0.0,
0.2,glue-mnli,glue-mrpc,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,glue-mnli,glue-mrpc,0.0,0.0,0.0,0.0,0.0,0.0,
0.30000000000000004,glue-mnli,glue-mrpc,0.0,0.0,0.0,0.0,0.0,0.0,
0.35000000000000003,glue-mnli,glue-mrpc,0.0,0.0,0.0,0.0,0.0,0.0,
0.4,glue-mnli,glue-mrpc,0.0,0.0,0.0,0.0,0.0,0.0,
0.45,glue-mnli,glue-mrpc,0.0,0.01875,0.0024509803921568627,0.0,0.018050541516245487,0.0011467889908256881,
0.5,glue-mnli,glue-mrpc,0.0,0.243125,0.19607843137254902,0.0,0.18772563176895307,0.008027522935779817,
0.55,glue-mnli,glue-mrpc,0.0,0.480625,0.6740196078431373,0.0,0.2563176895306859,0.0194954128440367,
0.6000000000000001,glue-mnli,glue-mrpc,0.0,0.50875,0.7867647058823529,0.0,0.18050541516245489,0.0045871559633027525,
0.65,glue-mnli,glue-mrpc,0.0,0.541875,0.7843137254901961,0.0,0.06859205776173286,0.0,
