scaling_factor,dataset:0,dataset:1,dataset:2,dataset:3,dataset:4,dataset:5,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb
0.8500000000000001,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-stsb,0.3058485139022052,0.070625,0.0,0.0,0.02888086642599278,0.0,
0.9,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-stsb,0.30201342281879195,0.043125,0.0,0.0,0.036101083032490974,0.0,
0.9500000000000001,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-stsb,0.2972195589645254,0.02125,0.0,0.0,0.039711191335740074,0.0,
1.0,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-stsb,0.2943432406519655,0.01125,0.0,0.0,0.039711191335740074,0.0,
0.0,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.05,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.1,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.15000000000000002,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.006880733944954129,
0.2,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-sst2,glue-stsb,0.0862895493767977,0.000625,0.0,0.0,0.0,0.23853211009174313,
0.25,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-sst2,glue-stsb,0.4947267497603068,0.005,0.0,0.0,0.0,0.569954128440367,
0.30000000000000004,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-sst2,glue-stsb,0.6241610738255033,0.0575,0.0,0.0,0.0,0.6961009174311926,
0.35000000000000003,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-sst2,glue-stsb,0.548418024928092,0.151875,0.0,0.0,0.0,0.6571100917431193,
0.4,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-sst2,glue-stsb,0.39213806327900286,0.19375,0.0,0.0,0.0,0.47706422018348627,
0.45,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-sst2,glue-stsb,0.3211888782358581,0.206875,0.0,0.0,0.0,0.2901376146788991,
0.5,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-sst2,glue-stsb,0.311601150527325,0.21625,0.0,0.0,0.0,0.13302752293577982,
0.55,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-sst2,glue-stsb,0.3096836049856184,0.219375,0.0,0.0,0.0,0.0481651376146789,
0.6000000000000001,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-sst2,glue-stsb,0.3087248322147651,0.216875,0.0,0.0,0.0,0.027522935779816515,
