scaling_factor,k,dataset:0,dataset:1,dataset:2,dataset:3,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb
0.75,0.5,glue-cola,glue-mnli,glue-mrpc,glue-sst2,0.2962607861936721,0.0025,0.0,0.0,0.0,0.8761467889908257,
1.0,0.5,glue-cola,glue-mnli,glue-mrpc,glue-sst2,0.47459252157238735,0.245,0.0,0.0,0.0,0.8623853211009175,
0.0,0.75,glue-cola,glue-mnli,glue-mrpc,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.75,glue-cola,glue-mnli,glue-mrpc,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.75,glue-cola,glue-mnli,glue-mrpc,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0022935779816513763,
0.75,0.75,glue-cola,glue-mnli,glue-mrpc,glue-sst2,0.2339405560882071,0.000625,0.0,0.0,0.0,0.8325688073394495,
1.0,0.75,glue-cola,glue-mnli,glue-mrpc,glue-sst2,0.46116970278044106,0.213125,0.0,0.0,0.01444043321299639,0.856651376146789,
0.0,1.0,glue-cola,glue-mnli,glue-mrpc,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,1.0,glue-cola,glue-mnli,glue-mrpc,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,1.0,glue-cola,glue-mnli,glue-mrpc,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.75,1.0,glue-cola,glue-mnli,glue-mrpc,glue-sst2,0.06615532118887824,0.0,0.0,0.0,0.0,0.5286697247706422,
1.0,1.0,glue-cola,glue-mnli,glue-mrpc,glue-sst2,0.5311601150527325,0.1125,0.0,0.0,0.0,0.8944954128440367,
0.0,0.25,glue-cola,glue-mnli,glue-mrpc,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.25,glue-cola,glue-mnli,glue-mrpc,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.25,glue-cola,glue-mnli,glue-mrpc,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.75,0.25,glue-cola,glue-mnli,glue-mrpc,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
1.0,0.25,glue-cola,glue-mnli,glue-mrpc,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,0.014802809714679307
0.0,0.5,glue-cola,glue-mnli,glue-mrpc,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.5,glue-cola,glue-mnli,glue-mrpc,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.5,glue-cola,glue-mnli,glue-mrpc,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.75,0.5,glue-cola,glue-mnli,glue-mrpc,glue-stsb,0.03451581975071908,0.0,0.0,0.0,0.0,0.0,0.08201139044258449
1.0,0.5,glue-cola,glue-mnli,glue-mrpc,glue-stsb,0.37296260786193675,0.041875,0.0,0.0,0.007220216606498195,0.0,0.7637835237504226
