scaling_factor,dataset:0,dataset:1,dataset:2,dataset:3,dataset:4,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb
0.15000000000000002,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.2,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-stsb,0.15436241610738255,0.0,0.0,0.0,0.0,0.01261467889908257,
0.30000000000000004,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-stsb,0.186960690316395,0.036875,0.0,0.0,0.0036101083032490976,0.005733944954128441,
0.35000000000000003,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-stsb,0.16682646212847554,0.0875,0.02696078431372549,0.003125,0.09747292418772563,0.0,0.3046203339419272
0.4,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-stsb,0.10354745925215723,0.124375,0.4264705882352941,0.00125,0.04332129963898917,0.0,0.21208382916274313
0.45,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-stsb,0.007670182166826462,0.035,0.5514705882352942,0.0,0.0036101083032490976,0.0,
0.5,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-stsb,0.0,0.0,0.4852941176470588,0.0,0.0,0.0,
0.55,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-stsb,0.0,0.0,0.23774509803921567,0.0,0.0,0.0,
0.6000000000000001,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-stsb,0.0,0.0,0.007352941176470588,0.0,0.0,0.0,
0.65,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.7000000000000001,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.75,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.8,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.8500000000000001,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.9,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.9500000000000001,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
1.0,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,glue-cola,glue-mnli,glue-mrpc,glue-rte,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.05,glue-cola,glue-mnli,glue-mrpc,glue-rte,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.1,glue-cola,glue-mnli,glue-mrpc,glue-rte,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.15000000000000002,glue-cola,glue-mnli,glue-mrpc,glue-rte,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.2,glue-cola,glue-mnli,glue-mrpc,glue-rte,glue-sst2,0.04985618408437201,0.0,0.0,0.0,0.0,0.29243119266055045,
0.25,glue-cola,glue-mnli,glue-mrpc,glue-rte,glue-sst2,0.5119846596356663,0.000625,0.0,0.0,0.12274368231046931,0.8348623853211009,
0.30000000000000004,glue-cola,glue-mnli,glue-mrpc,glue-rte,glue-sst2,0.46404602109300097,0.11,0.0,0.0,0.18050541516245489,0.5309633027522935,
0.35000000000000003,glue-cola,glue-mnli,glue-mrpc,glue-rte,glue-sst2,0.4103547459252157,0.240625,0.0,0.0,0.148014440433213,0.20642201834862386,
0.4,glue-cola,glue-mnli,glue-mrpc,glue-rte,glue-sst2,0.38926174496644295,0.21875,0.0,0.0,0.11913357400722022,0.09059633027522936,
0.45,glue-cola,glue-mnli,glue-mrpc,glue-rte,glue-sst2,0.3681687440076702,0.200625,0.0,0.0,0.10830324909747292,0.03669724770642202,
0.5,glue-cola,glue-mnli,glue-mrpc,glue-rte,glue-sst2,0.34707574304889743,0.165,0.0,0.0,0.09386281588447654,0.0045871559633027525,
0.55,glue-cola,glue-mnli,glue-mrpc,glue-rte,glue-sst2,0.3537871524448706,0.088125,0.0,0.0,0.0036101083032490976,0.0,
0.6000000000000001,glue-cola,glue-mnli,glue-mrpc,glue-rte,glue-sst2,0.3202301054650048,0.00625,0.0,0.0,0.0,0.0,
0.65,glue-cola,glue-mnli,glue-mrpc,glue-rte,glue-sst2,0.07861936720997123,0.0,0.0,0.0,0.0,0.0,
0.7000000000000001,glue-cola,glue-mnli,glue-mrpc,glue-rte,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.75,glue-cola,glue-mnli,glue-mrpc,glue-rte,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.8,glue-cola,glue-mnli,glue-mrpc,glue-rte,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.8500000000000001,glue-cola,glue-mnli,glue-mrpc,glue-rte,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.9,glue-cola,glue-mnli,glue-mrpc,glue-rte,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.9500000000000001,glue-cola,glue-mnli,glue-mrpc,glue-rte,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
1.0,glue-cola,glue-mnli,glue-mrpc,glue-rte,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,glue-cola,glue-mnli,glue-mrpc,glue-rte,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.05,glue-cola,glue-mnli,glue-mrpc,glue-rte,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.1,glue-cola,glue-mnli,glue-mrpc,glue-rte,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
