scaling_factor,dataset:0,dataset:1,dataset:2,dataset:3,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb
0.25,glue-cola,glue-mnli,glue-mrpc,glue-sst2,0.2722914669223394,0.00125,0.0,0.0,0.0,0.6639908256880734,
0.30000000000000004,glue-cola,glue-mnli,glue-mrpc,glue-sst2,0.5819750719079578,0.00625,0.0,0.0,0.0,0.841743119266055,
0.35000000000000003,glue-cola,glue-mnli,glue-mrpc,glue-sst2,0.5896452540747843,0.05375,0.0,0.0,0.0,0.8486238532110092,
0.4,glue-cola,glue-mnli,glue-mrpc,glue-sst2,0.49856184084372,0.13875,0.0,0.0,0.0,0.8130733944954128,
0.45,glue-cola,glue-mnli,glue-mrpc,glue-sst2,0.38638542665388304,0.18625,0.0,0.0,0.0,0.7408256880733946,
0.5,glue-cola,glue-mnli,glue-mrpc,glue-sst2,0.33940556088207097,0.209375,0.0,0.0,0.0,0.6502293577981652,
0.55,glue-cola,glue-mnli,glue-mrpc,glue-sst2,0.3326941514860978,0.21625,0.0,0.0,0.0,0.5378440366972477,
0.6000000000000001,glue-cola,glue-mnli,glue-mrpc,glue-sst2,0.3231064237775647,0.218125,0.0,0.0,0.0,0.42775229357798167,
0.65,glue-cola,glue-mnli,glue-mrpc,glue-sst2,0.31543624161073824,0.22125,0.0,0.0,0.0,0.31536697247706424,
0.7000000000000001,glue-cola,glue-mnli,glue-mrpc,glue-sst2,0.31351869606903165,0.22125,0.0,0.0,0.0,0.22018348623853212,
0.75,glue-cola,glue-mnli,glue-mrpc,glue-sst2,0.3144774688398849,0.225,0.0,0.0,0.0,0.14564220183486237,
0.8,glue-cola,glue-mnli,glue-mrpc,glue-sst2,0.31255992329817833,0.2225,0.0,0.0,0.0,0.11353211009174312,
0.8500000000000001,glue-cola,glue-mnli,glue-mrpc,glue-sst2,0.31255992329817833,0.223125,0.0,0.0,0.0,0.0871559633027523,
0.9,glue-cola,glue-mnli,glue-mrpc,glue-sst2,0.311601150527325,0.219375,0.0,0.0,0.0,0.05389908256880734,
0.9500000000000001,glue-cola,glue-mnli,glue-mrpc,glue-sst2,0.311601150527325,0.208125,0.0,0.0,0.0,0.03555045871559633,
1.0,glue-cola,glue-mnli,glue-mrpc,glue-sst2,0.3096836049856184,0.195,0.0,0.0,0.0,0.028669724770642203,
0.0,glue-cola,glue-mnli,glue-mrpc,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
