scaling_factor,dataset:0,dataset:1,dataset:2,dataset:3,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb
0.30000000000000004,glue-cola,glue-mnli,glue-mrpc,glue-sst2,0.5215723873441994,0.019375,0.0,0.0,0.0,0.9036697247706422,
0.35000000000000003,glue-cola,glue-mnli,glue-mrpc,glue-sst2,0.4563758389261745,0.155625,0.0,0.0,0.0,0.838302752293578,
0.4,glue-cola,glue-mnli,glue-mrpc,glue-sst2,0.42953020134228187,0.221875,0.0,0.0,0.0,0.6823394495412844,
0.45,glue-cola,glue-mnli,glue-mrpc,glue-sst2,0.4333652924256951,0.2425,0.0,0.0,0.0,0.49655963302752293,
0.5,glue-cola,glue-mnli,glue-mrpc,glue-sst2,0.4333652924256951,0.249375,0.0,0.0,0.0,0.32224770642201833,
0.55,glue-cola,glue-mnli,glue-mrpc,glue-sst2,0.40651965484180247,0.245625,0.0,0.0,0.0,0.16628440366972477,
0.6000000000000001,glue-cola,glue-mnli,glue-mrpc,glue-sst2,0.3825503355704698,0.23,0.0,0.0,0.0,0.058486238532110095,
0.65,glue-cola,glue-mnli,glue-mrpc,glue-sst2,0.42665388302972196,0.191875,0.0,0.0,0.0,0.009174311926605505,
0.7000000000000001,glue-cola,glue-mnli,glue-mrpc,glue-sst2,0.4841802492809204,0.13,0.0,0.0,0.0,0.0,
0.75,glue-cola,glue-mnli,glue-mrpc,glue-sst2,0.5254074784276127,0.071875,0.0,0.0,0.0,0.0,
0.8,glue-cola,glue-mnli,glue-mrpc,glue-sst2,0.5110258868648131,0.044375,0.0,0.0,0.0,0.0,
0.8500000000000001,glue-cola,glue-mnli,glue-mrpc,glue-sst2,0.08533077660594439,0.024375,0.0,0.0,0.0,0.0,
0.9,glue-cola,glue-mnli,glue-mrpc,glue-sst2,0.0,0.000625,0.0,0.0,0.0,0.0,
0.9500000000000001,glue-cola,glue-mnli,glue-mrpc,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
1.0,glue-cola,glue-mnli,glue-mrpc,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,glue-cola,glue-mnli,glue-mrpc,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.05,glue-cola,glue-mnli,glue-mrpc,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.1,glue-cola,glue-mnli,glue-mrpc,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.15000000000000002,glue-cola,glue-mnli,glue-mrpc,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.2,glue-cola,glue-mnli,glue-mrpc,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,glue-cola,glue-mnli,glue-mrpc,glue-stsb,0.03355704697986577,0.0,0.0,0.0,0.0,0.0,
0.30000000000000004,glue-cola,glue-mnli,glue-mrpc,glue-stsb,0.4448705656759348,0.0,0.0,0.0,0.0,0.0011467889908256881,0.09918780032852119
0.35000000000000003,glue-cola,glue-mnli,glue-mrpc,glue-stsb,0.46308724832214765,0.066875,0.0,0.0,0.05054151624548736,0.0,0.4900674255072047
0.4,glue-cola,glue-mnli,glue-mrpc,glue-stsb,0.30488974113135187,0.19125,0.0,0.0,0.13357400722021662,0.0,0.6633284244544385
0.45,glue-cola,glue-mnli,glue-mrpc,glue-stsb,0.28763183125599234,0.29125,0.004901960784313725,0.0,0.12274368231046931,0.0,0.7067055047094115
