scaling_factor,dataset:0,dataset:1,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb
0.0,glue-cola,glue-mnli,0.0,0.0,0.0,0.0,0.0,0.0,
0.05,glue-cola,glue-mnli,0.0,0.0,0.0,0.0,0.0,0.0,
0.1,glue-cola,glue-mnli,0.0,0.0,0.0,0.0,0.0,0.0,
0.15000000000000002,glue-cola,glue-mnli,0.0,0.0,0.0,0.0,0.0,0.0,
0.2,glue-cola,glue-mnli,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,glue-cola,glue-mnli,0.0,0.0,0.0,0.0,0.0,0.0,
0.30000000000000004,glue-cola,glue-mnli,0.013422818791946308,0.0,0.0,0.0,0.0,0.0,
0.35000000000000003,glue-cola,glue-mnli,0.2080536912751678,0.00125,0.0,0.0,0.0,0.0022935779816513763,
0.4,glue-cola,glue-mnli,0.5023969319271333,0.005,0.0,0.0,0.0,0.0034403669724770644,
0.45,glue-cola,glue-mnli,0.6471716203259827,0.021875,0.0,0.0,0.0,0.02981651376146789,
0.5,glue-cola,glue-mnli,0.6673058485139022,0.0725,0.0,0.0,0.0,0.09747706422018348,
0.55,glue-cola,glue-mnli,0.6586768935762224,0.155,0.0,0.0,0.0,0.17087155963302753,
0.6000000000000001,glue-cola,glue-mnli,0.6500479386385427,0.20625,0.0,0.0,0.0,0.17660550458715596,
0.65,glue-cola,glue-mnli,0.6097794822627037,0.239375,0.0,0.0,0.0,0.12729357798165136,
0.7000000000000001,glue-cola,glue-mnli,0.5417066155321189,0.24625,0.0,0.0,0.0,0.08371559633027523,
0.75,glue-cola,glue-mnli,0.5196548418024928,0.240625,0.0,0.0,0.0,0.04357798165137615,
0.8,glue-cola,glue-mnli,0.46883988494726747,0.235625,0.0,0.0,0.0,0.028669724770642203,
0.8500000000000001,glue-cola,glue-mnli,0.43528283796740175,0.240625,0.0,0.0,0.0,0.017201834862385322,
0.9,glue-cola,glue-mnli,0.4055608820709492,0.24125,0.0,0.0,0.0,0.0045871559633027525,
0.9500000000000001,glue-cola,glue-mnli,0.37488015340364333,0.245,0.0,0.0,0.0,0.0,
1.0,glue-cola,glue-mnli,0.36720997123681687,0.249375,0.0,0.0,0.0,0.0,
0.0,glue-cola,glue-mrpc,0.0,0.0,0.0,0.0,0.0,0.0,
0.05,glue-cola,glue-mrpc,0.0,0.0,0.0,0.0,0.0,0.0,
0.1,glue-cola,glue-mrpc,0.0,0.0,0.0,0.0,0.0,0.0,
0.15000000000000002,glue-cola,glue-mrpc,0.0,0.0,0.0,0.0,0.0,0.0,
0.2,glue-cola,glue-mrpc,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,glue-cola,glue-mrpc,0.0,0.0,0.0,0.0,0.0,0.0,
0.30000000000000004,glue-cola,glue-mrpc,0.03451581975071908,0.0,0.0,0.0,0.0,0.0,
0.35000000000000003,glue-cola,glue-mrpc,0.21860019175455417,0.0,0.0,0.0,0.0,0.0011467889908256881,
0.4,glue-cola,glue-mrpc,0.48322147651006714,0.0,0.0,0.0,0.0,0.0034403669724770644,
0.45,glue-cola,glue-mrpc,0.6347075743048898,0.0,0.0,0.0,0.0,0.01261467889908257,
0.5,glue-cola,glue-mrpc,0.6778523489932886,0.0,0.0,0.0,0.0,0.027522935779816515,
0.55,glue-cola,glue-mrpc,0.6845637583892618,0.0,0.0,0.0,0.0,0.034403669724770644,
0.6000000000000001,glue-cola,glue-mrpc,0.6893576222435283,0.0,0.0,0.0,0.0,0.01834862385321101,
0.65,glue-cola,glue-mrpc,0.6893576222435283,0.0,0.0,0.0,0.0,0.0034403669724770644,
0.7000000000000001,glue-cola,glue-mrpc,0.6883988494726749,0.0,0.0,0.0,0.0,0.0,
0.75,glue-cola,glue-mrpc,0.6864813039309684,0.0,0.0,0.0,0.0,0.0,
0.8,glue-cola,glue-mrpc,0.6816874400767018,0.0,0.0,0.0,0.0,0.0,
0.8500000000000001,glue-cola,glue-mrpc,0.6826462128475551,0.0,0.0,0.0,0.0,0.0,
0.9,glue-cola,glue-mrpc,0.6855225311601151,0.0,0.0,0.0,0.0,0.0,
0.9500000000000001,glue-cola,glue-mrpc,0.6797698945349953,0.0,0.0,0.0,0.0,0.0,
1.0,glue-cola,glue-mrpc,0.6816874400767018,0.0,0.0,0.0,0.0,0.0,
0.0,glue-cola,glue-qqp,0.0,0.0,0.0,0.0,0.0,0.0,
0.05,glue-cola,glue-qqp,0.0,0.0,0.0,0.0,0.0,0.0,
0.1,glue-cola,glue-qqp,0.0,0.0,0.0,0.0,0.0,0.0,
0.15000000000000002,glue-cola,glue-qqp,0.0,0.0,0.0,0.0,0.0,0.0,
0.2,glue-cola,glue-qqp,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,glue-cola,glue-qqp,0.0,0.0,0.0,0.0,0.0,0.0,
0.30000000000000004,glue-cola,glue-qqp,0.010546500479386385,0.0,0.0,0.0,0.0,0.0,
0.35000000000000003,glue-cola,glue-qqp,0.12559923298178333,0.0,0.0,0.0,0.0,0.0,
0.4,glue-cola,glue-qqp,0.36337488015340363,0.0,0.0,0.0,0.0,0.0,
0.45,glue-cola,glue-qqp,0.5714285714285714,0.0,0.0,0.0,0.0,0.0022935779816513763,
0.5,glue-cola,glue-qqp,0.6625119846596357,0.0,0.0,0.009375,0.0,0.0022935779816513763,
0.55,glue-cola,glue-qqp,0.6788111217641419,0.0,0.0,0.143125,0.0,0.0034403669724770644,
0.6000000000000001,glue-cola,glue-qqp,0.6836049856184084,0.0,0.0,0.375,0.0,0.0022935779816513763,
0.65,glue-cola,glue-qqp,0.6788111217641419,0.0,0.0,0.496875,0.0,0.0034403669724770644,
0.7000000000000001,glue-cola,glue-qqp,0.6778523489932886,0.0,0.0,0.54875,0.0,0.0011467889908256881,
0.75,glue-cola,glue-qqp,0.6673058485139022,0.0,0.0,0.566875,0.0,0.0,
0.8,glue-cola,glue-qqp,0.6538830297219559,0.0,0.0,0.571875,0.0,0.0,
0.8500000000000001,glue-cola,glue-qqp,0.6203259827420902,0.0,0.0,0.575,0.0,0.0,
0.9,glue-cola,glue-qqp,0.573346116970278,0.0,0.0,0.575625,0.0,0.0,
0.9500000000000001,glue-cola,glue-qqp,0.50143815915628,0.0,0.0,0.57875,0.0,0.0,
1.0,glue-cola,glue-qqp,0.43528283796740175,0.0,0.0,0.58125,0.0,0.0,
0.0,glue-cola,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.05,glue-cola,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.1,glue-cola,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.15000000000000002,glue-cola,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.2,glue-cola,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,glue-cola,glue-rte,0.0009587727708533077,0.0,0.0,0.0,0.0,0.0,
0.30000000000000004,glue-cola,glue-rte,0.023010546500479387,0.0,0.0,0.0,0.0,0.0,
0.35000000000000003,glue-cola,glue-rte,0.17641418983700863,0.0,0.0,0.0,0.0,0.0,
0.4,glue-cola,glue-rte,0.4467881112176414,0.0,0.0,0.0,0.007220216606498195,0.0,
0.45,glue-cola,glue-rte,0.6174496644295302,0.0,0.0,0.0,0.06498194945848375,0.0,
0.5,glue-cola,glue-rte,0.6682646212847555,0.0,0.0,0.0,0.17689530685920576,0.0022935779816513763,
0.55,glue-cola,glue-rte,0.6788111217641419,0.0,0.0,0.0,0.22382671480144403,0.0011467889908256881,
0.6000000000000001,glue-cola,glue-rte,0.6855225311601151,0.0,0.0,0.0,0.20216606498194944,0.0,
0.65,glue-cola,glue-rte,0.6883988494726749,0.0,0.0,0.0,0.18772563176895307,0.0011467889908256881,
0.7000000000000001,glue-cola,glue-rte,0.6855225311601151,0.0,0.0,0.0,0.1624548736462094,0.0,
0.75,glue-cola,glue-rte,0.6855225311601151,0.0,0.0,0.0,0.11913357400722022,0.0,
0.8,glue-cola,glue-rte,0.6807286673058485,0.0,0.0,0.0,0.08664259927797834,0.0,
0.8500000000000001,glue-cola,glue-rte,0.6682646212847555,0.0,0.0,0.0,0.06859205776173286,0.0,
0.9,glue-cola,glue-rte,0.6625119846596357,0.0,0.0,0.0,0.05054151624548736,0.0,
0.9500000000000001,glue-cola,glue-rte,0.6462128475551294,0.0,0.0,0.0,0.04332129963898917,0.0,
1.0,glue-cola,glue-rte,0.6184084372003835,0.0,0.0,0.0,0.04332129963898917,0.0,
0.0,glue-cola,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.05,glue-cola,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.1,glue-cola,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
