scaling_factor,dataset:0,dataset:1,dataset:2,dataset:3,dataset:4,dataset:5,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb
0.75,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-stsb,0.0,0.195625,0.0661764705882353,0.165,0.4368231046931408,0.0,
0.8,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-stsb,0.0,0.20375,0.06862745098039216,0.12375,0.40794223826714804,0.0,
0.8500000000000001,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-stsb,0.0,0.21375,0.07107843137254902,0.080625,0.4043321299638989,0.0,
0.9,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-stsb,0.0,0.223125,0.0784313725490196,0.03875,0.3935018050541516,0.0,
0.9500000000000001,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-stsb,0.0,0.23,0.09313725490196079,0.0275,0.37906137184115524,0.0,
1.0,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-stsb,0.0,0.241875,0.12009803921568628,0.010625,0.37545126353790614,0.0,
0.0,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.05,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.1,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.014908256880733946,
0.15000000000000002,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-sst2,glue-stsb,0.10067114093959731,0.0,0.0,0.0,0.0,0.4908256880733945,
0.2,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-sst2,glue-stsb,0.4161073825503356,0.000625,0.0,0.0,0.0,0.8096330275229358,0.08282331728530341
0.25,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-sst2,glue-stsb,0.4439117929050815,0.031875,0.007352941176470588,0.000625,0.0,0.8211009174311926,0.3988129479580216
0.30000000000000004,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-sst2,glue-stsb,0.3835091083413231,0.09625,0.19852941176470587,0.041875,0.010830324909747292,0.7522935779816514,0.6343379560829208
0.35000000000000003,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-sst2,glue-stsb,0.33557046979865773,0.12,0.23039215686274508,0.08875,0.02527075812274368,0.6295871559633027,0.6697318758012126
0.4,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-sst2,glue-stsb,0.3029721955896453,0.11375,0.25245098039215685,0.0875,0.0,0.46788990825688076,0.6787052363489887
0.45,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-sst2,glue-stsb,0.23585810162991372,0.083125,0.27941176470588236,0.085625,0.0,0.32454128440366975,0.6618909642981597
0.5,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-sst2,glue-stsb,0.16874400767018216,0.056875,0.3431372549019608,0.085,0.0,0.20642201834862386,0.6443789607961128
0.55,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-sst2,glue-stsb,0.12751677852348994,0.03625,0.4117647058823529,0.083125,0.0,0.1353211009174312,0.6303542157789908
0.6000000000000001,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-sst2,glue-stsb,0.09683604985618409,0.023125,0.553921568627451,0.084375,0.0,0.07110091743119266,0.6023269220851939
