scaling_factor,dataset:0,dataset:1,dataset:2,dataset:3,dataset:4,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb
1.0,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-sst2,0.3087248322147651,0.15125,0.0,0.0,0.0,0.0,
0.0,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.05,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.1,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.15000000000000002,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,-0.0323030368810438
0.2,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-stsb,0.0028763183125599234,0.0,0.0,0.0,0.0,0.0,
0.25,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-stsb,0.10354745925215723,0.000625,0.0,0.0,0.0,0.0,
0.30000000000000004,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-stsb,0.42857142857142855,0.008125,0.0,0.0,0.0,0.006880733944954129,
0.35000000000000003,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-stsb,0.638542665388303,0.05875,0.0,0.0,0.0,0.010321100917431193,
0.4,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-stsb,0.6778523489932886,0.130625,0.0,0.0,0.0,0.009174311926605505,
0.45,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-stsb,0.6558005752636625,0.1675,0.0,0.0,0.0,0.0022935779816513763,
0.5,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-stsb,0.5838926174496645,0.18375,0.0,0.0,0.0,0.0,0.04311052241795495
0.55,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-stsb,0.4563758389261745,0.191875,0.0,0.01,0.0,0.0,0.08921504566632825
0.6000000000000001,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-stsb,0.37392138063279,0.20125,0.0,0.04,0.0,0.0,0.06750503935253635
0.65,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-stsb,0.3173537871524449,0.203125,0.0,0.04125,0.0,0.0,0.1116574698033653
0.7000000000000001,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-stsb,0.3077660594439118,0.195,0.0,0.036875,0.0,0.0,0.069218073996278
