scaling_factor,k,dataset:0,dataset:1,dataset:2,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb
0.75,0.75,glue-cola,glue-mnli,glue-rte,0.2809204218600192,0.005,0.0,0.0,0.2851985559566787,0.0,
1.0,0.75,glue-cola,glue-mnli,glue-rte,0.6577181208053692,0.196875,0.0,0.0,0.4548736462093863,0.0022935779816513763,
0.0,1.0,glue-cola,glue-mnli,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,1.0,glue-cola,glue-mnli,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,1.0,glue-cola,glue-mnli,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.75,1.0,glue-cola,glue-mnli,glue-rte,0.2809204218600192,0.005,0.0,0.0,0.2851985559566787,0.0,
1.0,1.0,glue-cola,glue-mnli,glue-rte,0.6577181208053692,0.196875,0.0,0.0,0.4548736462093863,0.0022935779816513763,
0.0,0.25,glue-cola,glue-mnli,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.25,glue-cola,glue-mnli,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.25,glue-cola,glue-mnli,glue-sst2,0.038350910834132314,0.000625,0.0,0.0,0.0,0.1915137614678899,
0.75,0.25,glue-cola,glue-mnli,glue-sst2,0.6327900287631831,0.06125,0.0,0.0,0.0,0.8772935779816514,
1.0,0.25,glue-cola,glue-mnli,glue-sst2,0.5071907957813998,0.25125,0.0,0.0,0.0,0.8727064220183486,
0.0,0.5,glue-cola,glue-mnli,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.5,glue-cola,glue-mnli,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.5,glue-cola,glue-mnli,glue-sst2,0.0009587727708533077,0.0,0.0,0.0,0.0,0.05733944954128441,
0.75,0.5,glue-cola,glue-mnli,glue-sst2,0.5349952061361457,0.00625,0.0,0.0,0.0,0.7889908256880734,
1.0,0.5,glue-cola,glue-mnli,glue-sst2,0.5743048897411314,0.1725,0.0,0.0,0.0,0.8738532110091743,
0.0,0.75,glue-cola,glue-mnli,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.75,glue-cola,glue-mnli,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.75,glue-cola,glue-mnli,glue-sst2,0.0009587727708533077,0.0,0.0,0.0,0.0,0.05733944954128441,
0.75,0.75,glue-cola,glue-mnli,glue-sst2,0.5349952061361457,0.00625,0.0,0.0,0.0,0.7889908256880734,
1.0,0.75,glue-cola,glue-mnli,glue-sst2,0.5743048897411314,0.1725,0.0,0.0,0.0,0.8738532110091743,
0.0,1.0,glue-cola,glue-mnli,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,1.0,glue-cola,glue-mnli,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,1.0,glue-cola,glue-mnli,glue-sst2,0.0009587727708533077,0.0,0.0,0.0,0.0,0.05733944954128441,
