scaling_factor,k,dataset:0,dataset:1,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb
1.0,1.0,glue-cola,glue-qqp,0.6816874400767018,0.0,0.0,0.579375,0.0,0.0011467889908256881,
0.0,0.25,glue-cola,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.25,glue-cola,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.25,glue-cola,glue-rte,0.13806327900287632,0.0,0.0,0.0,0.0,0.0,
0.75,0.25,glue-cola,glue-rte,0.6720997123681688,0.0,0.0,0.0,0.3898916967509025,0.0,
1.0,0.25,glue-cola,glue-rte,0.6893576222435283,0.0,0.0,0.0,0.40794223826714804,0.0,
0.0,0.5,glue-cola,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.5,glue-cola,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.5,glue-cola,glue-rte,0.027804410354745925,0.0,0.0,0.0,0.0,0.0,
0.75,0.5,glue-cola,glue-rte,0.62607861936721,0.0,0.0,0.0,0.33212996389891697,0.0,
1.0,0.5,glue-cola,glue-rte,0.6883988494726749,0.0,0.0,0.0,0.48375451263537905,0.0,
0.0,0.75,glue-cola,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.75,glue-cola,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.75,glue-cola,glue-rte,0.027804410354745925,0.0,0.0,0.0,0.0,0.0,
0.75,0.75,glue-cola,glue-rte,0.62607861936721,0.0,0.0,0.0,0.33212996389891697,0.0,
1.0,0.75,glue-cola,glue-rte,0.6883988494726749,0.0,0.0,0.0,0.48375451263537905,0.0,
0.0,1.0,glue-cola,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,1.0,glue-cola,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,1.0,glue-cola,glue-rte,0.027804410354745925,0.0,0.0,0.0,0.0,0.0,
0.75,1.0,glue-cola,glue-rte,0.62607861936721,0.0,0.0,0.0,0.33212996389891697,0.0,
1.0,1.0,glue-cola,glue-rte,0.6883988494726749,0.0,0.0,0.0,0.48375451263537905,0.0,
0.0,0.25,glue-cola,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.25,glue-cola,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.25,glue-cola,glue-sst2,0.33940556088207097,0.0,0.0,0.0,0.0,0.3761467889908257,
0.75,0.25,glue-cola,glue-sst2,0.6682646212847555,0.0,0.0,0.0,0.0,0.801605504587156,
1.0,0.25,glue-cola,glue-sst2,0.6462128475551294,0.0,0.0,0.0,0.0,0.49426605504587157,
0.0,0.5,glue-cola,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.5,glue-cola,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.5,glue-cola,glue-sst2,0.21284755512943432,0.0,0.0,0.0,0.0,0.18922018348623854,
0.75,0.5,glue-cola,glue-sst2,0.6701821668264621,0.0,0.0,0.0,0.0,0.8153669724770642,
1.0,0.5,glue-cola,glue-sst2,0.6577181208053692,0.0,0.0,0.0,0.0,0.555045871559633,
0.0,0.75,glue-cola,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.75,glue-cola,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.75,glue-cola,glue-sst2,0.21284755512943432,0.0,0.0,0.0,0.0,0.18922018348623854,
0.75,0.75,glue-cola,glue-sst2,0.6701821668264621,0.0,0.0,0.0,0.0,0.8153669724770642,
1.0,0.75,glue-cola,glue-sst2,0.6577181208053692,0.0,0.0,0.0,0.0,0.555045871559633,
0.0,1.0,glue-cola,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,1.0,glue-cola,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,1.0,glue-cola,glue-sst2,0.21284755512943432,0.0,0.0,0.0,0.0,0.18922018348623854,
0.75,1.0,glue-cola,glue-sst2,0.6701821668264621,0.0,0.0,0.0,0.0,0.8153669724770642,
1.0,1.0,glue-cola,glue-sst2,0.6577181208053692,0.0,0.0,0.0,0.0,0.555045871559633,
0.0,0.25,glue-cola,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.25,glue-cola,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.25,glue-cola,glue-stsb,0.25599232981783315,0.0,0.0,0.0,0.0,0.0,
0.75,0.25,glue-cola,glue-stsb,0.6855225311601151,0.0,0.0,0.0,0.0,0.011467889908256881,0.29509471133716586
1.0,0.25,glue-cola,glue-stsb,0.6903163950143816,0.0,0.0,0.0,0.0,0.01834862385321101,0.3976380842071312
0.0,0.5,glue-cola,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.5,glue-cola,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.5,glue-cola,glue-stsb,0.06999041227229147,0.0,0.0,0.0,0.0,0.0,
0.75,0.5,glue-cola,glue-stsb,0.6711409395973155,0.0,0.0,0.0,0.0,0.0034403669724770644,0.09349711698941454
1.0,0.5,glue-cola,glue-stsb,0.6893576222435283,0.0,0.0,0.0,0.0,0.027522935779816515,0.48683293145386375
0.0,0.75,glue-cola,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.75,glue-cola,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.75,glue-cola,glue-stsb,0.06999041227229147,0.0,0.0,0.0,0.0,0.0,
