scaling_factor,k,dataset:0,dataset:1,dataset:2,dataset:3,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb
0.5,0.5,glue-cola,glue-mnli,glue-mrpc,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.016055045871559634,
0.75,0.5,glue-cola,glue-mnli,glue-mrpc,glue-sst2,0.3950143815915628,0.0025,0.0,0.0,0.0,0.6662844036697247,
1.0,0.5,glue-cola,glue-mnli,glue-mrpc,glue-sst2,0.5810162991371045,0.09625,0.0,0.0,0.0,0.8623853211009175,
0.0,0.75,glue-cola,glue-mnli,glue-mrpc,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.75,glue-cola,glue-mnli,glue-mrpc,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.75,glue-cola,glue-mnli,glue-mrpc,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.016055045871559634,
0.75,0.75,glue-cola,glue-mnli,glue-mrpc,glue-sst2,0.3950143815915628,0.0025,0.0,0.0,0.0,0.6662844036697247,
1.0,0.75,glue-cola,glue-mnli,glue-mrpc,glue-sst2,0.5810162991371045,0.09625,0.0,0.0,0.0,0.8623853211009175,
0.0,1.0,glue-cola,glue-mnli,glue-mrpc,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,1.0,glue-cola,glue-mnli,glue-mrpc,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,1.0,glue-cola,glue-mnli,glue-mrpc,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.016055045871559634,
0.75,1.0,glue-cola,glue-mnli,glue-mrpc,glue-sst2,0.3950143815915628,0.0025,0.0,0.0,0.0,0.6662844036697247,
1.0,1.0,glue-cola,glue-mnli,glue-mrpc,glue-sst2,0.5810162991371045,0.09625,0.0,0.0,0.0,0.8623853211009175,
0.0,0.25,glue-cola,glue-mnli,glue-mrpc,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.25,glue-cola,glue-mnli,glue-mrpc,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.25,glue-cola,glue-mnli,glue-mrpc,glue-stsb,0.005752636625119847,0.0,0.0,0.0,0.0,0.0,
0.75,0.25,glue-cola,glue-mnli,glue-mrpc,glue-stsb,0.6030680728667306,0.04125,0.0,0.0,0.0,0.0011467889908256881,
