scaling_factor,k,dataset:0,dataset:1,dataset:2,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb
0.0,1.0,glue-cola,glue-mnli,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,1.0,glue-cola,glue-mnli,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,1.0,glue-cola,glue-mnli,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.75,1.0,glue-cola,glue-mnli,glue-rte,0.016299137104506232,0.00125,0.0,0.0,0.30685920577617326,0.0,
1.0,1.0,glue-cola,glue-mnli,glue-rte,0.6126558005752637,0.401875,0.0,0.0,0.5270758122743683,0.0,
0.0,0.25,glue-cola,glue-mnli,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.25,glue-cola,glue-mnli,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.25,glue-cola,glue-mnli,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.75,0.25,glue-cola,glue-mnli,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
1.0,0.25,glue-cola,glue-mnli,glue-sst2,0.0,0.01125,0.0,0.0,0.0,0.028669724770642203,
0.0,0.5,glue-cola,glue-mnli,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.5,glue-cola,glue-mnli,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.5,glue-cola,glue-mnli,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0045871559633027525,
0.75,0.5,glue-cola,glue-mnli,glue-sst2,0.18791946308724833,0.016875,0.0,0.0,0.0,0.8256880733944955,
1.0,0.5,glue-cola,glue-mnli,glue-sst2,0.087248322147651,0.398125,0.0,0.0,0.039711191335740074,0.8876146788990825,
0.0,0.75,glue-cola,glue-mnli,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.75,glue-cola,glue-mnli,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.75,glue-cola,glue-mnli,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0034403669724770644,
0.75,0.75,glue-cola,glue-mnli,glue-sst2,0.16490891658676893,0.009375,0.0,0.0,0.0,0.805045871559633,
1.0,0.75,glue-cola,glue-mnli,glue-sst2,0.10354745925215723,0.42625,0.0,0.0,0.17328519855595667,0.8818807339449541,
0.0,1.0,glue-cola,glue-mnli,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,1.0,glue-cola,glue-mnli,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,1.0,glue-cola,glue-mnli,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.75,1.0,glue-cola,glue-mnli,glue-sst2,0.05177372962607862,0.00125,0.0,0.0,0.0,0.5619266055045872,
1.0,1.0,glue-cola,glue-mnli,glue-sst2,0.17641418983700863,0.261875,0.0,0.0,0.04332129963898917,0.9094036697247706,
0.0,0.25,glue-cola,glue-mnli,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.25,glue-cola,glue-mnli,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.25,glue-cola,glue-mnli,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.75,0.25,glue-cola,glue-mnli,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
1.0,0.25,glue-cola,glue-mnli,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.5,glue-cola,glue-mnli,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
