scaling_factor,dataset:0,dataset:1,dataset:2,dataset:3,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN
0.0,Cars,DTD,EuroSAT,GTSRB,0.5365004352692451,0.400531914893617,0.2185185185185185,0.2635787806809184,0.4479365079365079,0.6108816120906801,0.0890826674861708
0.05,Cars,DTD,EuroSAT,GTSRB,0.5496828752642706,0.4111702127659574,0.2466666666666666,0.2852731591448931,0.4582539682539682,0.6148614609571789,0.0922326367547633
0.1,Cars,DTD,EuroSAT,GTSRB,0.560129337147121,0.4196808510638298,0.2762962962962963,0.3021377672209026,0.4661904761904762,0.6175314861460958,0.0957283343577135
0.15,Cars,DTD,EuroSAT,GTSRB,0.5689590846909588,0.426063829787234,0.317037037037037,0.3192399049881235,0.4763492063492063,0.6201007556675063,0.0989551321450522
0.2,Cars,DTD,EuroSAT,GTSRB,0.5805248103469718,0.4345744680851063,0.3785185185185185,0.332541567695962,0.486031746031746,0.6223173803526448,0.1012215734480639
0.25,Cars,DTD,EuroSAT,GTSRB,0.5874891182688721,0.4404255319148936,0.4181481481481481,0.344972288202692,0.4911111111111111,0.6245340050377833,0.1055623847572218
0.3,Cars,DTD,EuroSAT,GTSRB,0.5965675910956348,0.4473404255319149,0.4555555555555555,0.3547901821060966,0.4949206349206349,0.626095717884131,0.1095958819913952
0.35,Cars,DTD,EuroSAT,GTSRB,0.6016664593955976,0.4569148936170212,0.4803703703703704,0.3667458432304038,0.4988888888888889,0.6270025188916877,0.1135141364474492
0.4,Cars,DTD,EuroSAT,GTSRB,0.6075115035443353,0.4622340425531915,0.502962962962963,0.3758511480601741,0.503015873015873,0.6282619647355163,0.1173939766441303
0.45,Cars,DTD,EuroSAT,GTSRB,0.6142270861833106,0.4686170212765957,0.522962962962963,0.3854315122723674,0.5061904761904762,0.6286146095717884,0.1205055316533497
0.5,Cars,DTD,EuroSAT,GTSRB,0.6179579654271856,0.475531914893617,0.5459259259259259,0.3941409342834521,0.5085714285714286,0.6280100755667506,0.1244237861094038
0.55,Cars,DTD,EuroSAT,GTSRB,0.6233055590100733,0.476063829787234,0.5614814814814815,0.4033254156769596,0.5126984126984127,0.6287657430730479,0.1275737553779963
0.6000000000000001,Cars,DTD,EuroSAT,GTSRB,0.6280313393856486,0.476063829787234,0.5807407407407408,0.4132224861441013,0.5142857142857142,0.6288664987405541,0.1297633681622618
0.65,Cars,DTD,EuroSAT,GTSRB,0.6297724163661236,0.4819148936170213,0.5944444444444444,0.4225653206650831,0.5158730158730159,0.6287657430730479,0.132260295021512
0.7000000000000001,Cars,DTD,EuroSAT,GTSRB,0.6333789329685362,0.4803191489361702,0.6055555555555555,0.4307205067300079,0.518095238095238,0.6276070528967255,0.1333743085433313
