scaling_factor,dataset:0,dataset:1,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN
0.0,Cars,DTD,0.5365004352692451,0.400531914893617,0.2185185185185185,0.2635787806809184,0.4479365079365079,0.6108816120906801,0.0890826674861708
0.05,Cars,DTD,0.5723168760104465,0.4340425531914894,0.2374074074074074,0.2684085510688836,0.4649206349206349,0.6156675062972292,0.0919253226797787
0.1,Cars,DTD,0.6075115035443353,0.4680851063829787,0.25,0.2761678543151227,0.479047619047619,0.6196977329974811,0.0942301782421635
0.15,Cars,DTD,0.6362392737221738,0.5047872340425532,0.2759259259259259,0.2746634996041172,0.4915873015873016,0.6233753148614609,0.0966502765826674
0.2,Cars,DTD,0.6679517472951125,0.5409574468085107,0.2903703703703704,0.2773555027711797,0.4996825396825397,0.6242317380352644,0.0991087891825445
0.25,Cars,DTD,0.6955602536997886,0.574468085106383,0.3048148148148148,0.2779889152810768,0.5047619047619047,0.6249370277078086,0.1015288875230485
0.3,Cars,DTD,0.7214276831239895,0.6074468085106383,0.3174074074074074,0.2760095011876484,0.5074603174603175,0.6261460957178842,0.1035648432698217
0.35,Cars,DTD,0.7449322223604029,0.6420212765957447,0.3292592592592592,0.2752969121140142,0.5055555555555555,0.6239294710327455,0.1058312845728334
0.4,Cars,DTD,0.7685611242382788,0.6707446808510639,0.3459259259259259,0.2723673792557403,0.5052380952380953,0.6223173803526448,0.1077519975414874
0.45,Cars,DTD,0.7857231687601045,0.7026595744680851,0.3607407407407407,0.268646080760095,0.5023809523809524,0.6164231738035264,0.1104025814382298
0.5,Cars,DTD,0.800646685735605,0.7292553191489362,0.3711111111111111,0.2624703087885985,0.4985714285714285,0.6087657430730479,0.1150891210817455
0.55,Cars,DTD,0.8118393234672304,0.7473404255319149,0.3762962962962963,0.255027711797308,0.4925396825396825,0.5979345088161209,0.1198140749846343
0.6000000000000001,Cars,DTD,0.8188036313891307,0.7627659574468085,0.38,0.2460807600950118,0.4831746031746032,0.5832745591939547,0.1271127842655193
0.65,Cars,DTD,0.826762840442731,0.7718085106382979,0.3729629629629629,0.240855106888361,0.4731746031746032,0.5659949622166247,0.135179778733866
0.7000000000000001,Cars,DTD,0.8298719064792937,0.7792553191489362,0.3588888888888888,0.2350752177355503,0.4614285714285714,0.5466498740554157,0.1427473878303626
0.75,Cars,DTD,0.8334784230817063,0.7867021276595745,0.3503703703703704,0.2330166270783848,0.4446031746031746,0.5212594458438287,0.1492009834050399
0.8,Cars,DTD,0.8303693570451436,0.7962765957446809,0.3351851851851852,0.2296912114014251,0.4311111111111111,0.4960201511335013,0.1568454210202827
0.8500000000000001,Cars,DTD,0.8281308294988186,0.7957446808510639,0.3159259259259259,0.2264449722882026,0.4096825396825397,0.4673047858942065,0.1629532882606023
0.9,Cars,DTD,0.8214152468598434,0.7946808510638298,0.2892592592592592,0.2210609659540776,0.392063492063492,0.433904282115869,0.1669867854947756
0.95,Cars,DTD,0.8155702027111056,0.7840425531914894,0.2711111111111111,0.217181314330958,0.3684126984126984,0.4022670025188917,0.170559311616472
1.0,Cars,DTD,0.8076109936575053,0.774468085106383,0.2551851851851852,0.2128266033254156,0.3419047619047619,0.3679093198992443,0.1709050399508297
0.0,Cars,EuroSAT,0.5365004352692451,0.400531914893617,0.2185185185185185,0.2635787806809184,0.4479365079365079,0.6108816120906801,0.0890826674861708
0.05,Cars,EuroSAT,0.5715707001616714,0.4101063829787234,0.3377777777777778,0.2806017418844022,0.476031746031746,0.6168261964735516,0.0982636754763368
0.1,Cars,EuroSAT,0.6051486133565477,0.4191489361702127,0.4992592592592592,0.2912905779889153,0.4993650793650793,0.6222670025188917,0.1077519975414874
0.15,Cars,EuroSAT,0.6356174605148613,0.4196808510638298,0.6188888888888889,0.3013460015835312,0.5117460317460317,0.6270025188916877,0.1183159188690842
0.2,Cars,EuroSAT,0.6644695933341624,0.425,0.7366666666666667,0.3030878859857482,0.5146031746031746,0.6293702770780857,0.1257682851874615
0.25,Cars,EuroSAT,0.6905857480412884,0.4207446808510638,0.8411111111111111,0.305304829770388,0.5119047619047619,0.6304282115869018,0.1326444376152427
0.3,Cars,EuroSAT,0.7139659246362393,0.4191489361702127,0.9051851851851852,0.3060965954077593,0.5088888888888888,0.6293702770780857,0.1343346650276582
0.35,Cars,EuroSAT,0.7354806616092526,0.4164893617021276,0.9451851851851852,0.3101346001583531,0.4987301587301587,0.6285138539042822,0.1350261216963737
0.4,Cars,EuroSAT,0.7588608382042035,0.4138297872340425,0.9611111111111112,0.3126682501979414,0.4852380952380952,0.6252896725440806,0.1369852489244007
0.45,Cars,EuroSAT,0.7758985200845666,0.4095744680851064,0.9722222222222222,0.311243072050673,0.466984126984127,0.6211586901763224,0.1359480639213276
0.5,Cars,EuroSAT,0.7885835095137421,0.4053191489361702,0.977037037037037,0.3159144893111639,0.449047619047619,0.6180352644836272,0.1360248924400737
0.55,Cars,EuroSAT,0.7991543340380549,0.3978723404255319,0.9829629629629628,0.3186064924782264,0.4287301587301587,0.6119899244332494,0.1349877074370006
0.6000000000000001,Cars,EuroSAT,0.8097251585623678,0.3909574468085106,0.9862962962962964,0.3208234362628662,0.4055555555555555,0.605088161209068,0.1317609096496619
0.65,Cars,EuroSAT,0.8170625544086556,0.3819148936170213,0.9866666666666668,0.3194774346793349,0.3826984126984127,0.5972292191435769,0.1307237246465888
0.7000000000000001,Cars,EuroSAT,0.8216639721427683,0.3702127659574468,0.9874074074074074,0.3192399049881235,0.3625396825396825,0.5872544080604534,0.1285341118623233
0.75,Cars,EuroSAT,0.8226588732744684,0.3595744680851064,0.9877777777777778,0.3175771971496437,0.3457142857142857,0.575566750629723,0.1252688998156115
0.8,Cars,EuroSAT,0.8226588732744684,0.3484042553191489,0.9888888888888888,0.3138558986539984,0.3274603174603174,0.5621158690176322,0.1238091579594345
0.8500000000000001,Cars,EuroSAT,0.8229075985573934,0.3367021276595744,0.9885185185185184,0.3062549485352335,0.3103174603174603,0.5480604534005038,0.1211201598033189
