scaling_factor,dataset:0,dataset:1,dataset:2,dataset:3,dataset:4,dataset:5,dataset:6,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN
0.0,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.5365004352692451,0.400531914893617,0.21851851851851853,0.26357878068091845,0.4479365079365079,0.6108816120906801,0.08908266748617087
0.05,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.5333913692326825,0.3984042553191489,0.21814814814814815,0.2612034837688044,0.44666666666666666,0.6086649874055415,0.08766133988936693
0.1,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.53276955602537,0.39680851063829786,0.2162962962962963,0.26025336500395885,0.4465079365079365,0.6076070528967255,0.0860479409956976
0.15000000000000002,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.5297848526302699,0.3941489361702128,0.21296296296296297,0.25946159936658747,0.44682539682539685,0.6059949622166246,0.08478027043638599
0.2,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.5286655888571073,0.39095744680851063,0.21,0.2566112430720507,0.44746031746031745,0.6049370277078086,0.08355101413644744
0.25,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.5259296107449323,0.39095744680851063,0.20703703703703705,0.25534441805225655,0.44603174603174606,0.6018639798488665,0.08220651505838968
0.30000000000000004,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.5228205447083696,0.3904255319148936,0.20407407407407407,0.2528107680126683,0.44603174603174606,0.600352644836272,0.08090043023970497
0.35000000000000003,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.5193383907474195,0.3893617021276596,0.20333333333333334,0.25154394299287414,0.44587301587301587,0.5986901763224182,0.08017055931161647
0.4,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.518467852257182,0.38670212765957446,0.19814814814814816,0.2510688836104513,0.4452380952380952,0.5967254408060454,0.07894130301167794
0.45,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.5147369730133068,0.38563829787234044,0.19592592592592592,0.24861441013460014,0.4453968253968254,0.5941561712846347,0.07832667486170866
0.5,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.5127471707499067,0.3851063829787234,0.19407407407407407,0.24726840855106888,0.44492063492063494,0.5913853904282116,0.07778887523048555
0.55,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.5087675662231066,0.3861702127659574,0.19444444444444445,0.24584323040380046,0.44333333333333336,0.5878589420654912,0.07709741856177013
0.6000000000000001,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.5060315881109315,0.38351063829787235,0.19333333333333333,0.2428345209817894,0.4415873015873016,0.584735516372796,0.07648279041180087
0.65,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.5020519835841313,0.3797872340425532,0.1925925925925926,0.24140934283452098,0.44126984126984126,0.5818136020151133,0.07594499078057775
0.7000000000000001,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.4989429175475687,0.37659574468085105,0.18666666666666668,0.23974663499604118,0.44047619047619047,0.5786901763224181,0.0752919483712354
0.75,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.49546076358661856,0.3723404255319149,0.18444444444444444,0.23784639746634997,0.43746031746031744,0.5754156171284635,0.07463890596189306
0.8,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.494092774530531,0.36914893617021277,0.18259259259259258,0.23570863024544736,0.4353968253968254,0.5725944584382872,0.07421634910878919
0.8500000000000001,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.4907349832110434,0.36648936170212765,0.1811111111111111,0.23436262866191607,0.4353968253968254,0.5697732997481109,0.07387062077443148
0.9,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.4879990050988683,0.3627659574468085,0.17777777777777778,0.23222486144101345,0.4336507936507937,0.5665491183879093,0.07356330669944683
0.9500000000000001,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.4846412137793807,0.35904255319148937,0.1751851851851852,0.22992874109263658,0.4319047619047619,0.5632745591939546,0.0732559926244622
1.0,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.47929362019649296,0.3547872340425532,0.17444444444444446,0.22794932699920822,0.43,0.5600503778337531,0.07298709280885064
