scaling_factor,k,dataset:0,dataset:1,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN
0.0,0.25,Cars,DTD,0.5365004352692451,0.400531914893617,0.2185185185185185,0.2635787806809184,0.4479365079365079,0.6108816120906801,0.0890826674861708
0.25,0.25,Cars,DTD,0.5425942047009078,0.4111702127659574,0.2177777777777777,0.2687252573238321,0.4519047619047619,0.6126448362720402,0.0896972956361401
0.5,0.25,Cars,DTD,0.5510508643203582,0.4292553191489361,0.2159259259259259,0.2812351543942993,0.4598412698412698,0.6150629722921914,0.090158266748617
0.75,0.25,Cars,DTD,0.5540355677154583,0.4606382978723404,0.2074074074074074,0.2950910530482977,0.4641269841269841,0.6187405541561712,0.0910417947141979
1.0,0.25,Cars,DTD,0.5545330182813083,0.4909574468085106,0.2033333333333333,0.3102929532858274,0.4695238095238095,0.6153148614609572,0.0921173939766441
0.0,0.5,Cars,DTD,0.5365004352692451,0.400531914893617,0.2185185185185185,0.2635787806809184,0.4479365079365079,0.6108816120906801,0.0890826674861708
0.25,0.5,Cars,DTD,0.5498072379057332,0.4223404255319149,0.2162962962962963,0.2730007917656373,0.4565079365079365,0.6147103274559194,0.0906576521204671
0.5,0.5,Cars,DTD,0.5662231065787837,0.4601063829787234,0.2155555555555555,0.2881235154394299,0.4696825396825397,0.6224181360201512,0.0935771358328211
0.75,0.5,Cars,DTD,0.5825146126103719,0.5127659574468085,0.2137037037037037,0.306492478226445,0.4849206349206349,0.6187405541561712,0.0992624462200368
1.0,0.5,Cars,DTD,0.5859967665713219,0.576063829787234,0.2077777777777777,0.3048297703879651,0.4782539682539682,0.5965239294710327,0.1073678549477566
0.0,0.75,Cars,DTD,0.5365004352692451,0.400531914893617,0.2185185185185185,0.2635787806809184,0.4479365079365079,0.6108816120906801,0.0890826674861708
0.25,0.75,Cars,DTD,0.5506777763959706,0.425531914893617,0.2177777777777777,0.2714964370546318,0.456031746031746,0.6146095717884131,0.090619237861094
0.5,0.75,Cars,DTD,0.5670936450690213,0.4627659574468085,0.2192592592592592,0.2832145684877276,0.4750793650793651,0.621360201511335,0.0926936078672403
0.75,0.75,Cars,DTD,0.5818927994030593,0.5180851063829788,0.22,0.2954869358669834,0.4892063492063492,0.6183879093198993,0.0961124769514443
1.0,0.75,Cars,DTD,0.585001865439622,0.5824468085106383,0.1996296296296296,0.2927157561361836,0.4763492063492063,0.5924937027707808,0.1008374308543331
0.0,1.0,Cars,DTD,0.5365004352692451,0.400531914893617,0.2185185185185185,0.2635787806809184,0.4479365079365079,0.6108816120906801,0.0890826674861708
0.25,1.0,Cars,DTD,0.549061062056958,0.4202127659574468,0.217037037037037,0.2705463182897862,0.4555555555555555,0.6135012594458439,0.0902735095267363
0.5,1.0,Cars,DTD,0.5623678646934461,0.4585106382978723,0.22,0.2814726840855107,0.4709523809523809,0.6192947103274559,0.0917332513829133
0.75,1.0,Cars,DTD,0.5756746673299341,0.5079787234042553,0.2181481481481481,0.2932699920823436,0.4849206349206349,0.6183375314861461,0.0948063921327596
1.0,1.0,Cars,DTD,0.5755503046884716,0.5680851063829787,0.2118518518518518,0.2966745843230404,0.4773015873015873,0.5972292191435769,0.0989935464044253
0.0,0.25,Cars,EuroSAT,0.5365004352692451,0.400531914893617,0.2185185185185185,0.2635787806809184,0.4479365079365079,0.6108816120906801,0.0890826674861708
0.25,0.25,Cars,EuroSAT,0.5415993035692078,0.4015957446808511,0.2292592592592592,0.2668250197941409,0.4519047619047619,0.6113853904282116,0.0888905961893054
0.5,0.25,Cars,EuroSAT,0.5466981718691705,0.4,0.2496296296296296,0.2728424386381631,0.4573015873015873,0.6137531486146096,0.0890058389674247
0.75,0.25,Cars,EuroSAT,0.5519214028105957,0.4031914893617021,0.2774074074074074,0.2804433887569279,0.4684126984126984,0.614911838790932,0.0895052243392747
1.0,0.25,Cars,EuroSAT,0.5614973262032086,0.4095744680851064,0.3562962962962963,0.289390340459224,0.4726984126984127,0.618639798488665,0.0912338660110633
0.0,0.5,Cars,EuroSAT,0.5365004352692451,0.400531914893617,0.2185185185185185,0.2635787806809184,0.4479365079365079,0.6108816120906801,0.0890826674861708
