scaling_factor,k,dataset:0,dataset:1,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN
0.75,0.5,Cars,SUN397,0.7578659370725034,0.4148936170212766,0.3907407407407407,0.3057007125890736,0.5407936507936508,0.7663476070528967,0.1298017824216349
1.0,0.5,Cars,SUN397,0.7634622559383162,0.3984042553191489,0.3637037037037037,0.3072050673000792,0.5073015873015873,0.7706297229219143,0.15619237861094037
0.0,0.75,Cars,SUN397,0.5365004352692451,0.400531914893617,0.21851851851851853,0.26357878068091845,0.4479365079365079,0.6108816120906801,0.08908266748617087
0.25,0.75,Cars,SUN397,0.6327571197612237,0.4175531914893617,0.3025925925925926,0.28630245447347585,0.51,0.6877581863979849,0.0956899200983405
0.5,0.75,Cars,SUN397,0.7086183310533516,0.4196808510638298,0.37777777777777777,0.2978622327790974,0.5403174603174603,0.7364735516372796,0.10832821143208358
0.75,0.75,Cars,SUN397,0.7502798159432906,0.41117021276595744,0.38333333333333336,0.30403800475059384,0.5357142857142857,0.7663476070528967,0.13164566687154272
1.0,0.75,Cars,SUN397,0.7569953985822658,0.39680851063829786,0.34444444444444444,0.30546318289786223,0.5019047619047619,0.770176322418136,0.15757529194837125
0.0,1.0,Cars,SUN397,0.5365004352692451,0.400531914893617,0.21851851851851853,0.26357878068091845,0.4479365079365079,0.6108816120906801,0.08908266748617087
0.25,1.0,Cars,SUN397,0.6240517348588484,0.4186170212765957,0.29259259259259257,0.2844813935075218,0.5065079365079365,0.6824181360201511,0.09519053472649047
0.5,1.0,Cars,SUN397,0.6959333416241761,0.4154255319148936,0.3751851851851852,0.29762470308788597,0.5382539682539682,0.7316876574307305,0.10529348494161032
0.75,1.0,Cars,SUN397,0.7379679144385026,0.41595744680851066,0.3874074074074074,0.3019794140934283,0.5407936507936508,0.7629722921914358,0.12438537185003073
1.0,1.0,Cars,SUN397,0.7551299589603283,0.4074468085106383,0.36185185185185187,0.3057798891528108,0.518095238095238,0.7725440806045341,0.14862476951444376
0.0,0.25,Cars,SVHN,0.5365004352692451,0.400531914893617,0.21851851851851853,0.26357878068091845,0.4479365079365079,0.6108816120906801,0.08908266748617087
0.25,0.25,Cars,SVHN,0.6175848775027981,0.4106382978723404,0.2740740740740741,0.2939034045922407,0.48603174603174604,0.6240302267002519,0.27715888137676703
0.5,0.25,Cars,SVHN,0.6832483521950006,0.4117021276595745,0.3359259259259259,0.3068091844813935,0.5087301587301587,0.6263476070528967,0.7737015980331899
0.75,0.25,Cars,SVHN,0.7413257057579903,0.4031914893617021,0.36148148148148146,0.3079968329374505,0.5073015873015873,0.6220654911838791,0.9565534726490473
1.0,0.25,Cars,SVHN,0.7782614102723542,0.3781914893617021,0.3333333333333333,0.30411718131433096,0.48682539682539683,0.6095717884130982,0.9724953902888752
0.0,0.5,Cars,SVHN,0.5365004352692451,0.400531914893617,0.21851851851851853,0.26357878068091845,0.4479365079365079,0.6108816120906801,0.08908266748617087
0.25,0.5,Cars,SVHN,0.6292749658002736,0.4101063829787234,0.29259259259259257,0.2978622327790974,0.4946031746031746,0.6270025188916877,0.4623540258143823
0.5,0.5,Cars,SVHN,0.7025245616216889,0.4031914893617021,0.35777777777777775,0.30997624703087884,0.506031746031746,0.6275566750629723,0.9181776275353412
0.75,0.5,Cars,SVHN,0.7541350578286283,0.3803191489361702,0.3137037037037037,0.3072050673000792,0.4855555555555556,0.6119395465994962,0.970958819913952
1.0,0.5,Cars,SVHN,0.7717945529163039,0.3271276595744681,0.2477777777777778,0.2737133808392716,0.4282539682539683,0.57183879093199,0.9749923171481254
