scaling_factor,k,dataset:0,dataset:1,dataset:2,dataset:3,dataset:4,dataset:5,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN
0.0,0.75,Cars,DTD,EuroSAT,GTSRB,RESISC45,SVHN,0.5365004352692451,0.400531914893617,0.21851851851851853,0.26357878068091845,0.4479365079365079,0.6108816120906801,0.08908266748617087
0.25,0.75,Cars,DTD,EuroSAT,GTSRB,RESISC45,SVHN,0.5444596443228454,0.41595744680851066,0.25851851851851854,0.2912905779889153,0.4773015873015873,0.6153148614609572,0.10168254456054088
0.5,0.75,Cars,DTD,EuroSAT,GTSRB,RESISC45,SVHN,0.5549061062056958,0.43617021276595747,0.3662962962962963,0.3322248614410135,0.5242857142857142,0.6232241813602015,0.13852181929932392
0.75,0.75,Cars,DTD,EuroSAT,GTSRB,RESISC45,SVHN,0.5609998756373585,0.4632978723404255,0.4714814814814815,0.3819477434679335,0.5752380952380952,0.6252392947103275,0.23559465273509528
1.0,0.75,Cars,DTD,EuroSAT,GTSRB,RESISC45,SVHN,0.5602536997885835,0.475,0.5162962962962963,0.42755344418052255,0.6104761904761905,0.6130478589420655,0.4332744314689613
0.0,1.0,Cars,DTD,EuroSAT,GTSRB,RESISC45,SVHN,0.5365004352692451,0.400531914893617,0.21851851851851853,0.26357878068091845,0.4479365079365079,0.6108816120906801,0.08908266748617087
0.25,1.0,Cars,DTD,EuroSAT,GTSRB,RESISC45,SVHN,0.5443352816813829,0.41329787234042553,0.2474074074074074,0.2859857482185273,0.4704761904761905,0.6149622166246851,0.09903196066379841
0.5,1.0,Cars,DTD,EuroSAT,GTSRB,RESISC45,SVHN,0.5545330182813083,0.43457446808510636,0.3174074074074074,0.32114014251781475,0.5122222222222222,0.6221158690176323,0.12534572833435773
0.75,1.0,Cars,DTD,EuroSAT,GTSRB,RESISC45,SVHN,0.560875512995896,0.4553191489361702,0.44592592592592595,0.3618368962787015,0.5611111111111111,0.625088161209068,0.185079901659496
1.0,1.0,Cars,DTD,EuroSAT,GTSRB,RESISC45,SVHN,0.5711976122372839,0.4718085106382979,0.49703703703703705,0.402375296912114,0.6076190476190476,0.6226700251889169,0.33627842655193607
0.0,0.25,Cars,DTD,EuroSAT,GTSRB,SUN397,SVHN,0.5365004352692451,0.400531914893617,0.21851851851851853,0.26357878068091845,0.4479365079365079,0.6108816120906801,0.08908266748617087
0.25,0.25,Cars,DTD,EuroSAT,GTSRB,SUN397,SVHN,0.5412262156448203,0.4117021276595745,0.22666666666666666,0.2784639746634996,0.4576190476190476,0.6155163727959698,0.09396127842655194
0.5,0.25,Cars,DTD,EuroSAT,GTSRB,SUN397,SVHN,0.5458276333789329,0.4276595744680851,0.23592592592592593,0.3068883610451306,0.4734920634920635,0.6241813602015114,0.10421788567916411
0.75,0.25,Cars,DTD,EuroSAT,GTSRB,SUN397,SVHN,0.5474443477179455,0.4526595744680851,0.24555555555555555,0.34140934283452096,0.4911111111111111,0.631183879093199,0.12423171481253842
1.0,0.25,Cars,DTD,EuroSAT,GTSRB,SUN397,SVHN,0.5411018530033578,0.4675531914893617,0.2677777777777778,0.37466349960411716,0.5046031746031746,0.632544080604534,0.15477105101413643
0.0,0.5,Cars,DTD,EuroSAT,GTSRB,SUN397,SVHN,0.5365004352692451,0.400531914893617,0.21851851851851853,0.26357878068091845,0.4479365079365079,0.6108816120906801,0.08908266748617087
0.25,0.5,Cars,DTD,EuroSAT,GTSRB,SUN397,SVHN,0.545330182813083,0.41808510638297874,0.24,0.2989707046714173,0.4638095238095238,0.617984886649874,0.10079901659496004
0.5,0.5,Cars,DTD,EuroSAT,GTSRB,SUN397,SVHN,0.5544086556398458,0.44627659574468087,0.3411111111111111,0.35091053048297705,0.4865079365079365,0.6292695214105793,0.13544867854947756
0.75,0.5,Cars,DTD,EuroSAT,GTSRB,SUN397,SVHN,0.5603780624300461,0.47127659574468084,0.42444444444444446,0.4056215360253365,0.5092063492063492,0.6349622166246851,0.21761677934849416
1.0,0.5,Cars,DTD,EuroSAT,GTSRB,SUN397,SVHN,0.5542842929983833,0.49361702127659574,0.4559259259259259,0.44996041171813145,0.5119047619047619,0.626095717884131,0.33063153042409343
0.0,0.75,Cars,DTD,EuroSAT,GTSRB,SUN397,SVHN,0.5365004352692451,0.400531914893617,0.21851851851851853,0.26357878068091845,0.4479365079365079,0.6108816120906801,0.08908266748617087
0.25,0.75,Cars,DTD,EuroSAT,GTSRB,SUN397,SVHN,0.5459519960203955,0.4148936170212766,0.2437037037037037,0.2939825811559778,0.4638095238095238,0.617632241813602,0.10083743085433312
0.5,0.75,Cars,DTD,EuroSAT,GTSRB,SUN397,SVHN,0.557890809600796,0.43670212765957445,0.33814814814814814,0.33919239904988124,0.4893650793650794,0.6265491183879093,0.13548709280885066
0.75,0.75,Cars,DTD,EuroSAT,GTSRB,SUN397,SVHN,0.5684616341251089,0.46117021276595743,0.43851851851851853,0.3874109263657957,0.5134920634920634,0.6322921914357683,0.22068992009834051
1.0,0.75,Cars,DTD,EuroSAT,GTSRB,SUN397,SVHN,0.5687103594080338,0.4819148936170213,0.4822222222222222,0.43452098178939036,0.5268253968253969,0.6284130982367758,0.3721573448063921
0.0,1.0,Cars,DTD,EuroSAT,GTSRB,SUN397,SVHN,0.5365004352692451,0.400531914893617,0.21851851851851853,0.26357878068091845,0.4479365079365079,0.6108816120906801,0.08908266748617087
0.25,1.0,Cars,DTD,EuroSAT,GTSRB,SUN397,SVHN,0.5450814575301579,0.4122340425531915,0.2388888888888889,0.2882818685669042,0.4595238095238095,0.6159697732997481,0.09837891825445605
0.5,1.0,Cars,DTD,EuroSAT,GTSRB,SUN397,SVHN,0.5554035567715458,0.43351063829787234,0.2903703703703704,0.32779097387173395,0.48095238095238096,0.6246851385390428,0.12311770129071911
0.75,1.0,Cars,DTD,EuroSAT,GTSRB,SUN397,SVHN,0.5647307548812337,0.4521276595744681,0.40814814814814815,0.36904196357878066,0.5031746031746032,0.6313350125944585,0.17839582052858022
