dataset:0,dataset:1,dataset:2,dataset:3,dataset:4,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN
Cars,DTD,EuroSAT,GTSRB,RESISC45,0.6797661982340505,0.5287234042553192,0.8674074074074074,0.5359461599366587,0.7390476190476191,0.6314357682619647,0.2257221880762139
Cars,DTD,EuroSAT,GTSRB,SUN397,0.6879741325705758,0.5409574468085107,0.8092592592592592,0.5463182897862233,0.5371428571428571,0.6907304785894206,0.24435310387215733
Cars,DTD,EuroSAT,GTSRB,SVHN,0.6772789454048004,0.5319148936170213,0.7611111111111111,0.5847189231987332,0.5211111111111111,0.6306801007556675,0.7065918869084205
Cars,DTD,EuroSAT,RESISC45,SUN397,0.6833727148364631,0.5260638297872341,0.8648148148148148,0.2978622327790974,0.7455555555555555,0.6926952141057935,0.14701137062077443
Cars,DTD,EuroSAT,RESISC45,SVHN,0.681631637855988,0.5234042553191489,0.8518518518518519,0.3117181314330958,0.7366666666666667,0.6340050377833754,0.5825906576521205
Cars,DTD,EuroSAT,SUN397,SVHN,0.6894664842681258,0.5398936170212766,0.8,0.32636579572446556,0.5425396825396825,0.6919395465994962,0.6231945298094653
Cars,DTD,GTSRB,RESISC45,SUN397,0.6851137918169382,0.5329787234042553,0.49333333333333335,0.5376088677751386,0.7406349206349206,0.6896725440806045,0.22917947141979103
Cars,DTD,GTSRB,RESISC45,SVHN,0.6795174729511255,0.5207446808510638,0.4725925925925926,0.5794140934283452,0.7238095238095238,0.6332493702770781,0.7203057775046097
Cars,DTD,GTSRB,SUN397,SVHN,0.6867305061559508,0.5308510638297872,0.3825925925925926,0.5916072842438638,0.5217460317460317,0.688816120906801,0.7418177627535341
Cars,DTD,RESISC45,SUN397,SVHN,0.6864817808730257,0.5335106382978724,0.47962962962962963,0.30997624703087884,0.7411111111111112,0.6927455919395465,0.6291487400122926
Cars,EuroSAT,GTSRB,RESISC45,SUN397,0.679393110309663,0.41382978723404257,0.87,0.542596991290578,0.7388888888888889,0.6897732997481109,0.22779655808236018
Cars,EuroSAT,GTSRB,RESISC45,SVHN,0.6724288023877627,0.4122340425531915,0.8325925925925926,0.5764053840063341,0.7211111111111111,0.6296725440806046,0.6701367547633682
Cars,EuroSAT,GTSRB,SUN397,SVHN,0.678646934460888,0.41436170212765955,0.7622222222222222,0.5988915281076801,0.5323809523809524,0.6891183879093199,0.7044406883835279
Cars,EuroSAT,RESISC45,SUN397,SVHN,0.680388011441363,0.4218085106382979,0.85,0.33238321456848774,0.7326984126984127,0.6910327455919395,0.5774431468961279
Cars,GTSRB,RESISC45,SUN397,SVHN,0.6802636487999005,0.4117021276595745,0.4751851851851852,0.5868566904196358,0.7293650793650793,0.6893702770780856,0.7212661339889367
DTD,EuroSAT,GTSRB,RESISC45,SUN397,0.5827633378932968,0.525,0.8785185185185185,0.535471100554236,0.7347619047619047,0.6887657430730478,0.23594038106945298
DTD,EuroSAT,GTSRB,RESISC45,SVHN,0.5811466235542843,0.5127659574468085,0.8422222222222222,0.5705463182897862,0.7196825396825397,0.6294206549118387,0.6853103872157345
DTD,EuroSAT,GTSRB,SUN397,SVHN,0.5827633378932968,0.5313829787234042,0.7603703703703704,0.588756927949327,0.53,0.6885642317380353,0.7124692685925015
DTD,EuroSAT,RESISC45,SUN397,SVHN,0.5897276458151971,0.5218085106382979,0.8629629629629629,0.32264449722882027,0.7301587301587301,0.6894206549118388,0.5944222495390289
DTD,GTSRB,RESISC45,SUN397,SVHN,0.5845044148737719,0.523936170212766,0.47333333333333333,0.579889152810768,0.7223809523809523,0.6886146095717884,0.7263368162261832
EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.5784106454421092,0.41436170212765955,0.8392592592592593,0.5838479809976247,0.7198412698412698,0.685088161209068,0.6808543331284573
