scaling_factor,k,dataset:0,dataset:1,dataset:2,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN
1.0,0.0,Cars,DTD,SUN397,0.5340625,0.400531914893617,0.21851851851851853,0.26875,0.5321875,0.6040625,0.094375
0.0,0.5,Cars,DTD,SUN397,0.53375,0.400531914893617,0.21851851851851853,0.2690625,0.5321875,0.604375,0.094375
0.3333333333333333,0.5,Cars,DTD,SUN397,0.563125,0.4308510638297872,0.2225925925925926,0.2753125,0.5471875,0.6184375,0.0959375
0.6666666666666666,0.5,Cars,DTD,SUN397,0.586875,0.449468085106383,0.23074074074074075,0.28,0.550625,0.63,0.09875
1.0,0.5,Cars,DTD,SUN397,0.6071875,0.46702127659574466,0.24074074074074073,0.2853125,0.5553125,0.634375,0.105
0.0,1.0,Cars,DTD,SUN397,0.53375,0.400531914893617,0.21851851851851853,0.2690625,0.5321875,0.604375,0.094375
0.3333333333333333,1.0,Cars,DTD,SUN397,0.563125,0.4308510638297872,0.22296296296296297,0.2753125,0.5471875,0.6184375,0.09625
0.6666666666666666,1.0,Cars,DTD,SUN397,0.5859375,0.449468085106383,0.23074074074074075,0.2796875,0.55,0.63,0.0990625
1.0,1.0,Cars,DTD,SUN397,0.6059375,0.46595744680851064,0.23962962962962964,0.285,0.555,0.6334375,0.1053125
0.0,0.0,Cars,DTD,SVHN,0.53375,0.400531914893617,0.21851851851851853,0.2690625,0.5321875,0.604375,0.094375
0.3333333333333333,0.0,Cars,DTD,SVHN,0.53375,0.400531914893617,0.21851851851851853,0.2690625,0.5321875,0.6046875,0.094375
0.6666666666666666,0.0,Cars,DTD,SVHN,0.5340625,0.400531914893617,0.21851851851851853,0.26875,0.5321875,0.6040625,0.094375
1.0,0.0,Cars,DTD,SVHN,0.53375,0.400531914893617,0.21851851851851853,0.2690625,0.5321875,0.6040625,0.094375
0.0,0.5,Cars,DTD,SVHN,0.53375,0.400531914893617,0.21851851851851853,0.2690625,0.5321875,0.604375,0.094375
0.3333333333333333,0.5,Cars,DTD,SVHN,0.556875,0.42659574468085104,0.22740740740740742,0.2859375,0.5453125,0.614375,0.14
0.6666666666666666,0.5,Cars,DTD,SVHN,0.575,0.4425531914893617,0.23777777777777778,0.288125,0.5559375,0.61875,0.30125
