scaling_factor,dataset:0,dataset:1,dataset:2,dataset:3,dataset:4,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN
0.0,Cars,DTD,EuroSAT,GTSRB,RESISC45,0.5365004352692451,0.400531914893617,0.21851851851851853,0.26357878068091845,0.4479365079365079,0.6108816120906801,0.08908266748617087
0.05,Cars,DTD,EuroSAT,GTSRB,RESISC45,0.5859967665713219,0.44468085106382976,0.4033333333333333,0.3359461599366588,0.5488888888888889,0.6245843828715365,0.1188921327596804
0.1,Cars,DTD,EuroSAT,GTSRB,RESISC45,0.6230568337271484,0.47819148936170214,0.6074074074074074,0.3892319873317498,0.6319047619047619,0.6322418136020151,0.15872771972956362
0.15000000000000002,Cars,DTD,EuroSAT,GTSRB,RESISC45,0.6572565601293372,0.5058510638297873,0.7622222222222222,0.45890736342042754,0.6882539682539682,0.6341057934508816,0.19464505224339274
0.2,Cars,DTD,EuroSAT,GTSRB,RESISC45,0.6797661982340505,0.5287234042553192,0.8674074074074074,0.5359461599366587,0.7390476190476191,0.6313853904282116,0.22576060233558698
0.25,Cars,DTD,EuroSAT,GTSRB,RESISC45,0.6979231438875761,0.5377659574468086,0.9196296296296296,0.6076801266825019,0.7903174603174603,0.621712846347607,0.25768285187461587
0.30000000000000004,Cars,DTD,EuroSAT,GTSRB,RESISC45,0.7109812212411392,0.5526595744680851,0.9392592592592592,0.6726049089469517,0.8188888888888889,0.6130982367758187,0.28852950215119855
0.35000000000000003,Cars,DTD,EuroSAT,GTSRB,RESISC45,0.7179455291630394,0.5590425531914893,0.945925925925926,0.7257323832145685,0.8341269841269842,0.5976826196473551,0.3101567301782422
0.4,Cars,DTD,EuroSAT,GTSRB,RESISC45,0.7189404302947394,0.5595744680851064,0.95,0.7654790182106097,0.8425396825396826,0.5791939546599496,0.3221419791026429
0.45,Cars,DTD,EuroSAT,GTSRB,RESISC45,0.7128466608630767,0.5468085106382978,0.9488888888888889,0.7882026920031671,0.843015873015873,0.5536523929471032,0.3242547633681623
0.5,Cars,DTD,EuroSAT,GTSRB,RESISC45,0.7032707374704639,0.5356382978723404,0.9425925925925925,0.804750593824228,0.8350793650793651,0.5222670025188917,0.3175322679778734
0.55,Cars,DTD,EuroSAT,GTSRB,RESISC45,0.6817560004974506,0.5159574468085106,0.9318518518518518,0.808867775138559,0.8231746031746032,0.4817632241813602,0.30739090350338044
0.6000000000000001,Cars,DTD,EuroSAT,GTSRB,RESISC45,0.6524064171122995,0.4898936170212766,0.9181481481481482,0.8056215360253365,0.8019047619047619,0.43622166246851385,0.28722341733251383
0.65,Cars,DTD,EuroSAT,GTSRB,RESISC45,0.6095013058077353,0.4595744680851064,0.8966666666666666,0.7908155186064925,0.7826984126984127,0.3854911838790932,0.264520590043024
0.7000000000000001,Cars,DTD,EuroSAT,GTSRB,RESISC45,0.5545330182813083,0.42606382978723406,0.86,0.769200316706255,0.7582539682539683,0.3309823677581864,0.2390903503380455
0.75,Cars,DTD,EuroSAT,GTSRB,RESISC45,0.4875015545330183,0.3946808510638298,0.8140740740740741,0.7415676959619952,0.7296825396825397,0.2758690176322418,0.21462046711739396
0.8,Cars,DTD,EuroSAT,GTSRB,RESISC45,0.40691456286531524,0.3659574468085106,0.7537037037037037,0.7075217735550278,0.7026984126984127,0.2251889168765743,0.18799938537185004
0.8500000000000001,Cars,DTD,EuroSAT,GTSRB,RESISC45,0.3155080213903743,0.3393617021276596,0.6759259259259259,0.6725257323832146,0.6630158730158731,0.18272040302267004,0.1624539028887523
0.9,Cars,DTD,EuroSAT,GTSRB,RESISC45,0.22484765576420843,0.3122340425531915,0.5918518518518519,0.6281076801266825,0.6233333333333333,0.1453904282115869,0.14105716041794714
0.9500000000000001,Cars,DTD,EuroSAT,GTSRB,RESISC45,0.1571943788086059,0.2877659574468085,0.5125925925925926,0.5764845605700712,0.5823809523809523,0.1147103274559194,0.12265673017824216
1.0,Cars,DTD,EuroSAT,GTSRB,RESISC45,0.09849521203830369,0.2622340425531915,0.4337037037037037,0.5247822644497229,0.5326984126984127,0.0892191435768262,0.11024892440073755
0.0,Cars,DTD,EuroSAT,GTSRB,SUN397,0.5365004352692451,0.400531914893617,0.21851851851851853,0.26357878068091845,0.4479365079365079,0.6108816120906801,0.08908266748617087
0.05,Cars,DTD,EuroSAT,GTSRB,SUN397,0.5868673050615595,0.44627659574468087,0.39185185185185184,0.3358669833729216,0.5015873015873016,0.6409571788413099,0.1172019053472649
0.1,Cars,DTD,EuroSAT,GTSRB,SUN397,0.6245491854246984,0.4808510638297872,0.5803703703703704,0.3919239904988123,0.5277777777777778,0.6629219143576827,0.15711432083589427
0.15000000000000002,Cars,DTD,EuroSAT,GTSRB,SUN397,0.6581270986195746,0.5122340425531915,0.7129629629629629,0.46318289786223277,0.5395238095238095,0.68,0.2006760909649662
0.2,Cars,DTD,EuroSAT,GTSRB,SUN397,0.6879741325705758,0.5409574468085107,0.8092592592592592,0.5464766429136976,0.5374603174603174,0.6906801007556675,0.24454517516902274
0.25,Cars,DTD,EuroSAT,GTSRB,SUN397,0.7094888695435891,0.5574468085106383,0.8744444444444445,0.6403008709422011,0.5284126984126984,0.6976322418136021,0.29121850030731405
0.30000000000000004,Cars,DTD,EuroSAT,GTSRB,SUN397,0.7257803755751772,0.5654255319148936,0.9125925925925926,0.7252573238321457,0.51,0.701360201511335,0.3356637984019668
0.35000000000000003,Cars,DTD,EuroSAT,GTSRB,SUN397,0.7353562989677901,0.5861702127659575,0.9274074074074075,0.7876484560570072,0.48793650793650795,0.7009571788413098,0.3709280885064536
0.4,Cars,DTD,EuroSAT,GTSRB,SUN397,0.7394602661360528,0.5867021276595744,0.9366666666666666,0.8300870942201108,0.4623809523809524,0.6963224181360201,0.39343884449907807
0.45,Cars,DTD,EuroSAT,GTSRB,SUN397,0.7362268374580276,0.5808510638297872,0.9407407407407408,0.8569279493269992,0.43857142857142856,0.6838790931989924,0.4070759065765212
0.5,Cars,DTD,EuroSAT,GTSRB,SUN397,0.7206815072752145,0.5702127659574469,0.9325925925925926,0.8760886777513855,0.403015873015873,0.6634760705289673,0.40888137676705594
0.55,Cars,DTD,EuroSAT,GTSRB,SUN397,0.7007834846412138,0.5473404255319149,0.9296296296296296,0.8882818685669042,0.3634920634920635,0.6316372795969774,0.4000076828518746
0.6000000000000001,Cars,DTD,EuroSAT,GTSRB,SUN397,0.6691953737097376,0.5234042553191489,0.9185185185185185,0.8910530482977039,0.33031746031746034,0.5851889168765743,0.38564074984634295
0.65,Cars,DTD,EuroSAT,GTSRB,SUN397,0.6302698669319736,0.4925531914893617,0.904074074074074,0.8889944576405384,0.2923809523809524,0.5249370277078086,0.3636677934849416
0.7000000000000001,Cars,DTD,EuroSAT,GTSRB,SUN397,0.5820171620445218,0.45851063829787236,0.8740740740740741,0.8812351543942993,0.259047619047619,0.45093198992443323,0.3358942839582053
0.75,Cars,DTD,EuroSAT,GTSRB,SUN397,0.5095137420718816,0.4154255319148936,0.8355555555555556,0.8676167854315123,0.22587301587301586,0.36790931989924436,0.3053165334972342
0.8,Cars,DTD,EuroSAT,GTSRB,SUN397,0.4290511130456411,0.3797872340425532,0.7803703703703704,0.8466349960411718,0.19603174603174603,0.28639798488664986,0.26962968653964353
