scaling_factor,dataset:0,dataset:1,dataset:2,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN
0.0,Cars,DTD,EuroSAT,0.5365004352692451,0.400531914893617,0.2185185185185185,0.2635787806809184,0.4479365079365079,0.6108816120906801,0.0890826674861708
0.05,Cars,DTD,EuroSAT,0.5776644695933342,0.4420212765957447,0.3511111111111111,0.2821060965954077,0.4838095238095238,0.6190931989924433,0.099838660110633
0.1,Cars,DTD,EuroSAT,0.6132321850516105,0.4781914893617021,0.5244444444444445,0.2918448139350752,0.5098412698412699,0.6260453400503778,0.11240012292563
0.15,Cars,DTD,EuroSAT,0.6454421091903992,0.5111702127659574,0.6422222222222222,0.294695170229612,0.5214285714285715,0.6294710327455919,0.1239244007375537
0.2,Cars,DTD,EuroSAT,0.6745429672926253,0.5446808510638298,0.7659259259259259,0.2939034045922407,0.5276190476190477,0.6302770780856424,0.1357559926244622
0.25,Cars,DTD,EuroSAT,0.7014052978485263,0.575,0.8603703703703703,0.2937450514647664,0.5241269841269841,0.6293702770780857,0.1425937307928703
0.3,Cars,DTD,EuroSAT,0.7241636612361646,0.5989361702127659,0.9207407407407407,0.2916072842438638,0.5176190476190476,0.6262972292191435,0.1482022126613399
0.35,Cars,DTD,EuroSAT,0.7439373212287029,0.6175531914893617,0.9425925925925924,0.2933491686460807,0.5028571428571429,0.6241309823677582,0.1528887523048555
0.4,Cars,DTD,EuroSAT,0.7620942668822286,0.6409574468085106,0.9618518518518518,0.2939825811559778,0.4849206349206349,0.6172795969773299,0.1588045482483097
0.45,Cars,DTD,EuroSAT,0.7758985200845666,0.6659574468085107,0.97,0.2935866983372922,0.4722222222222222,0.6083627204030226,0.1646051014136447
0.5,Cars,DTD,EuroSAT,0.784852630269867,0.6829787234042554,0.9766666666666668,0.2952494061757719,0.4496825396825397,0.5981360201511335,0.1690611555009219
0.55,Cars,DTD,EuroSAT,0.7918169381917672,0.6867021276595745,0.9807407407407408,0.2944576405384006,0.4233333333333333,0.5840302267002518,0.1717501536570375
0.6000000000000001,Cars,DTD,EuroSAT,0.7977863449819674,0.6936170212765957,0.984074074074074,0.2965954077593032,0.4053968253968254,0.5692695214105793,0.1733251382913337
0.65,Cars,DTD,EuroSAT,0.7990299713965925,0.7026595744680851,0.9874074074074074,0.2956452889944576,0.3826984126984127,0.552896725440806,0.173939766441303
0.7000000000000001,Cars,DTD,EuroSAT,0.79791070762343,0.6882978723404255,0.9866666666666668,0.2917656373713381,0.3577777777777777,0.5322921914357682,0.1732098955132145
0.75,Cars,DTD,EuroSAT,0.7948016415868673,0.6845744680851064,0.9855555555555556,0.2855898653998416,0.3315873015873016,0.5086649874055416,0.1714044253226797
0.8,Cars,DTD,EuroSAT,0.787837333664967,0.673936170212766,0.9837037037037036,0.2777513855898654,0.3101587301587301,0.4760201511335012,0.168139213275968
0.8500000000000001,Cars,DTD,EuroSAT,0.7808730257430668,0.6585106382978724,0.9833333333333332,0.2652414885193982,0.2873015873015873,0.4443828715365239,0.1665258143822987
0.9,Cars,DTD,EuroSAT,0.7670687725407288,0.6441489361702127,0.9822222222222222,0.2483768804433887,0.2661904761904762,0.4080604534005038,0.1637215734480639
0.95,Cars,DTD,EuroSAT,0.7499067280189031,0.625531914893617,0.9811111111111112,0.2288202692003167,0.2463492063492063,0.3719899244332493,0.1596880762138905
1.0,Cars,DTD,EuroSAT,0.7234174853873896,0.6058510638297873,0.9803703703703704,0.2137767220902612,0.2273015873015873,0.3340050377833753,0.156038721573448
0.0,Cars,DTD,GTSRB,0.5365004352692451,0.400531914893617,0.2185185185185185,0.2635787806809184,0.4479365079365079,0.6108816120906801,0.0890826674861708
0.05,Cars,DTD,GTSRB,0.5782862828006466,0.4382978723404255,0.2474074074074074,0.327236737925574,0.4714285714285714,0.6174307304785894,0.104678856791641
0.1,Cars,DTD,GTSRB,0.6123616465613729,0.475531914893617,0.2862962962962962,0.3827395091053048,0.4879365079365079,0.6228715365239295,0.1258451137062077
0.15,Cars,DTD,GTSRB,0.6432035816440741,0.5095744680851064,0.3085185185185185,0.4536025336500396,0.4993650793650793,0.6258942065491184,0.1558082360172095
0.2,Cars,DTD,GTSRB,0.6765327695560254,0.5393617021276595,0.3259259259259259,0.5395091053048298,0.5028571428571429,0.6249874055415617,0.1919560540872772
0.25,Cars,DTD,GTSRB,0.7021514736973014,0.5728723404255319,0.3322222222222222,0.6387173396674585,0.5006349206349207,0.6262972292191435,0.2375537799631223
0.3,Cars,DTD,GTSRB,0.7286407163288148,0.6085106382978723,0.3418518518518518,0.7285827395091053,0.4906349206349206,0.6231738035264484,0.2841118623232944
0.35,Cars,DTD,GTSRB,0.7511503544335282,0.6335106382978724,0.3425925925925926,0.7991290577988915,0.4803174603174603,0.6150629722921914,0.3368546404425322
0.4,Cars,DTD,GTSRB,0.7665713219748788,0.6542553191489362,0.3337037037037037,0.8566112430720507,0.4717460317460317,0.6058942065491184,0.3868700061462815
0.45,Cars,DTD,GTSRB,0.7804999378186793,0.6707446808510639,0.3081481481481481,0.9005542359461599,0.4541269841269841,0.5908816120906801,0.4248232944068838
0.5,Cars,DTD,GTSRB,0.789080960079592,0.6787234042553192,0.2803703703703704,0.9277117973079968,0.4336507936507937,0.5722921914357683,0.4497157344806392
0.55,Cars,DTD,GTSRB,0.7938067404551673,0.6824468085106383,0.244074074074074,0.9464766429136976,0.4079365079365079,0.546801007556675,0.4654655808236017
0.6000000000000001,Cars,DTD,GTSRB,0.7924387513990797,0.6861702127659575,0.217037037037037,0.9596199524940616,0.375079365079365,0.5178841309823677,0.4650046097111248
0.65,Cars,DTD,GTSRB,0.7857231687601045,0.675531914893617,0.194074074074074,0.9657957244655582,0.3465079365079365,0.480705289672544,0.4563614013521819
0.7000000000000001,Cars,DTD,GTSRB,0.7766446959333416,0.6526595744680851,0.1651851851851851,0.9704671417260492,0.3122222222222222,0.4397984886649874,0.4391133988936693
0.75,Cars,DTD,GTSRB,0.7627160800895411,0.6297872340425532,0.1422222222222222,0.9735550277117974,0.2785714285714286,0.394256926952141,0.4147587584511371
0.8,Cars,DTD,GTSRB,0.7449322223604029,0.598404255319149,0.1251851851851851,0.9744259699129058,0.2368253968253968,0.3439294710327455,0.3859096496619545
0.8500000000000001,Cars,DTD,GTSRB,0.7185673423703519,0.5712765957446808,0.1092592592592592,0.9756927949327,0.1946031746031746,0.2957178841309824,0.3548325138291334
0.9,Cars,DTD,GTSRB,0.6815072752145256,0.5367021276595745,0.1085185185185185,0.9764845605700712,0.1558730158730158,0.2497732997481108,0.3245236631837738
0.95,Cars,DTD,GTSRB,0.6245491854246984,0.5111702127659574,0.1055555555555555,0.9756927949327,0.1274603174603174,0.2069521410579345,0.3003610940381069
1.0,Cars,DTD,GTSRB,0.560875512995896,0.4734042553191489,0.1037037037037037,0.9753760886777514,0.0982539682539682,0.1693198992443325,0.2788106945298094
0.0,Cars,DTD,RESISC45,0.5365004352692451,0.400531914893617,0.2185185185185185,0.2635787806809184,0.4479365079365079,0.6108816120906801,0.0890826674861708
0.05,Cars,DTD,RESISC45,0.5775401069518716,0.4420212765957447,0.2629629629629629,0.2733174980205859,0.5279365079365079,0.6211586901763224,0.0943454210202827
0.1,Cars,DTD,RESISC45,0.6154707125979356,0.4734042553191489,0.3122222222222222,0.2750593824228028,0.6065079365079366,0.6295717884130982,0.0992624462200368
0.15,Cars,DTD,RESISC45,0.6468100982464867,0.5085106382978724,0.3674074074074074,0.2780680918448139,0.6777777777777778,0.6318891687657431,0.104678856791641
0.2,Cars,DTD,RESISC45,0.6765327695560254,0.5367021276595745,0.4248148148148148,0.2805225653206651,0.7363492063492063,0.6315869017632242,0.1109019668100799
0.25,Cars,DTD,RESISC45,0.6964307921900261,0.5638297872340425,0.4629629629629629,0.2797307996832937,0.7930158730158731,0.6302770780856424,0.1178165334972341
0.3,Cars,DTD,RESISC45,0.7181942544459644,0.5994680851063829,0.4825925925925926,0.2786223277909738,0.8487301587301588,0.6279596977329975,0.1236555009219422
0.35,Cars,DTD,RESISC45,0.7363512000994901,0.6175531914893617,0.5011111111111111,0.2732383214568488,0.8882539682539683,0.622367758186398,0.1281115550092194
