scaling_factor,dataset:0,dataset:1,dataset:2,dataset:3,dataset:4,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN
0.0,Cars,DTD,EuroSAT,GTSRB,RESISC45,0.5365004352692451,0.400531914893617,0.2185185185185185,0.2635787806809184,0.4479365079365079,0.6108816120906801,0.0890826674861708
0.05,Cars,DTD,EuroSAT,GTSRB,RESISC45,0.5506777763959706,0.4127659574468085,0.2507407407407407,0.2847980997624703,0.4723809523809524,0.6154659949622167,0.0934618930547019
0.1,Cars,DTD,EuroSAT,GTSRB,RESISC45,0.560626787712971,0.4212765957446808,0.2859259259259259,0.3,0.4961904761904762,0.6190428211586901,0.0977258758451137
0.15,Cars,DTD,EuroSAT,GTSRB,RESISC45,0.572441238651909,0.4303191489361702,0.3288888888888889,0.3134600158353127,0.5136507936507937,0.6226196473551637,0.1013752304855562
0.2,Cars,DTD,EuroSAT,GTSRB,RESISC45,0.5817684367615968,0.4414893617021276,0.3977777777777778,0.328424386381631,0.5315873015873016,0.6251889168765743,0.1065227412415488
0.25,Cars,DTD,EuroSAT,GTSRB,RESISC45,0.5918418107200597,0.4484042553191489,0.4437037037037037,0.340855106888361,0.5512698412698412,0.6270528967254408,0.1122464658881376
0.3,Cars,DTD,EuroSAT,GTSRB,RESISC45,0.5985573933590349,0.4579787234042553,0.4777777777777778,0.350910530482977,0.5644444444444444,0.6278589420654912,0.1168945912722802
0.35,Cars,DTD,EuroSAT,GTSRB,RESISC45,0.6037806243004601,0.4659574468085106,0.5070370370370371,0.3619952494061758,0.5807936507936508,0.6279093198992444,0.1218500307314075
0.4,Cars,DTD,EuroSAT,GTSRB,RESISC45,0.6098743937321228,0.4739361702127659,0.532962962962963,0.3711005542359462,0.5907936507936508,0.6281612090680101,0.1265749846342962
0.45,Cars,DTD,EuroSAT,GTSRB,RESISC45,0.613605272975998,0.4739361702127659,0.5525925925925926,0.3821852731591449,0.6012698412698413,0.6279596977329975,0.1304164105716042
0.5,Cars,DTD,EuroSAT,GTSRB,RESISC45,0.6190772292003482,0.4696808510638298,0.5707407407407408,0.3921615201900237,0.6088888888888889,0.6268513853904282,0.1341425937307928
0.55,Cars,DTD,EuroSAT,GTSRB,RESISC45,0.6241760975003109,0.4728723404255319,0.5881481481481482,0.4011084718923198,0.6114285714285714,0.6246347607052897,0.1377151198524892
0.6000000000000001,Cars,DTD,EuroSAT,GTSRB,RESISC45,0.6265389876880985,0.475,0.5977777777777777,0.4068883610451306,0.6177777777777778,0.6228211586901763,0.141018746158574
0.65,Cars,DTD,EuroSAT,GTSRB,RESISC45,0.6285287899514985,0.474468085106383,0.6048148148148148,0.4154394299287411,0.6212698412698413,0.6212594458438288,0.1423632452366318
0.7000000000000001,Cars,DTD,EuroSAT,GTSRB,RESISC45,0.6298967790075861,0.475531914893617,0.6148148148148148,0.4184481393507522,0.6214285714285714,0.6176826196473552,0.1446681007990166
0.75,Cars,DTD,EuroSAT,GTSRB,RESISC45,0.6315134933465987,0.4734042553191489,0.6185185185185185,0.4221694378463975,0.6206349206349207,0.6141057934508816,0.1455900430239705
0.8,Cars,DTD,EuroSAT,GTSRB,RESISC45,0.6312647680636737,0.4691489361702127,0.6203703703703703,0.4243072050673001,0.6195238095238095,0.6100251889168766,0.1461662569145667
