scaling_factor,dataset:0,dataset:1,dataset:2,dataset:3,dataset:4,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN
0.0,Cars,DTD,EuroSAT,GTSRB,RESISC45,0.5365004352692451,0.400531914893617,0.2185185185185185,0.2635787806809184,0.4479365079365079,0.6108816120906801,0.0890826674861708
0.05,Cars,DTD,EuroSAT,GTSRB,RESISC45,0.5428429299838329,0.4063829787234042,0.237037037037037,0.27513855898654,0.4603174603174603,0.6133501259445844,0.0913491087891825
0.1,Cars,DTD,EuroSAT,GTSRB,RESISC45,0.5524188533764457,0.4191489361702127,0.2785185185185185,0.2951702296120348,0.4885714285714285,0.6174811083123426,0.0953057775046097
0.15,Cars,DTD,EuroSAT,GTSRB,RESISC45,0.560626787712971,0.4329787234042553,0.3537037037037037,0.3182897862232779,0.5212698412698412,0.6246851385390428,0.10129840196681
0.2,Cars,DTD,EuroSAT,GTSRB,RESISC45,0.571943788086059,0.4473404255319149,0.4555555555555555,0.342042755344418,0.553968253968254,0.6299244332493703,0.1085971112476951
0.25,Cars,DTD,EuroSAT,GTSRB,RESISC45,0.5807735356298968,0.4606382978723404,0.5148148148148148,0.3714964370546318,0.5931746031746031,0.6307808564231738,0.1171250768285187
0.3,Cars,DTD,EuroSAT,GTSRB,RESISC45,0.5901007337395846,0.4723404255319149,0.5588888888888889,0.3983372921615202,0.6193650793650793,0.6253904282115869,0.1233481868469575
0.35,Cars,DTD,EuroSAT,GTSRB,RESISC45,0.5943290635493098,0.475,0.5985185185185186,0.4193190815518606,0.6398412698412699,0.6141561712846347,0.1258835279655808
0.4,Cars,DTD,EuroSAT,GTSRB,RESISC45,0.5924636239273722,0.4664893617021277,0.5696296296296296,0.4266033254156769,0.6438095238095238,0.5967758186397984,0.1243853718500307
0.45,Cars,DTD,EuroSAT,GTSRB,RESISC45,0.5889814699664221,0.4537234042553191,0.5103703703703704,0.4249406175771971,0.6295238095238095,0.5740554156171285,0.1188153042409342
0.5,Cars,DTD,EuroSAT,GTSRB,RESISC45,0.5838826016664594,0.4404255319148936,0.4640740740740741,0.4117181314330958,0.6028571428571429,0.5482115869017632,0.1140519360786724
0.55,Cars,DTD,EuroSAT,GTSRB,RESISC45,0.5710732495958214,0.4202127659574468,0.3914814814814815,0.3835312747426762,0.5444444444444444,0.5219647355163728,0.1136293792255685
0.6000000000000001,Cars,DTD,EuroSAT,GTSRB,RESISC45,0.547568710359408,0.3882978723404255,0.2814814814814815,0.3460807600950119,0.4704761904761905,0.4870025188916876,0.1236555009219422
0.65,Cars,DTD,EuroSAT,GTSRB,RESISC45,0.5105086432035817,0.3430851063829787,0.1729629629629629,0.3125890736342043,0.3846031746031746,0.4399496221662468,0.1304548248309772
0.7000000000000001,Cars,DTD,EuroSAT,GTSRB,RESISC45,0.4513120258674294,0.2968085106382979,0.1218518518518518,0.2707046714172605,0.3028571428571429,0.3869017632241813,0.1275737553779963
0.75,Cars,DTD,EuroSAT,GTSRB,RESISC45,0.3728391991045889,0.2542553191489362,0.1033333333333333,0.2235154394299287,0.2246031746031746,0.3206045340050378,0.1049477566072526
0.8,Cars,DTD,EuroSAT,GTSRB,RESISC45,0.294739460266136,0.2090425531914893,0.0966666666666666,0.1856690419635787,0.1538095238095238,0.2564735516372796,0.0838967424708051
0.8500000000000001,Cars,DTD,EuroSAT,GTSRB,RESISC45,0.2110434025618704,0.1803191489361702,0.0977777777777777,0.1536817102137767,0.1058730158730158,0.1901259445843828,0.0753687768899815
0.9,Cars,DTD,EuroSAT,GTSRB,RESISC45,0.1460017410769804,0.15,0.0874074074074074,0.1273159144893111,0.0704761904761904,0.137984886649874,0.0703749231714812
0.95,Cars,DTD,EuroSAT,GTSRB,RESISC45,0.0895411018530033,0.1292553191489361,0.0825925925925925,0.1077593032462391,0.0534920634920634,0.0979345088161209,0.0747541487400123
1.0,Cars,DTD,EuroSAT,GTSRB,RESISC45,0.0545951996020395,0.1143617021276595,0.1037037037037037,0.0897862232779097,0.0368253968253968,0.0643828715365239,0.0768285187461585
0.0,Cars,DTD,EuroSAT,GTSRB,SUN397,0.5365004352692451,0.400531914893617,0.2185185185185185,0.2635787806809184,0.4479365079365079,0.6108816120906801,0.0890826674861708
0.05,Cars,DTD,EuroSAT,GTSRB,SUN397,0.5432160179082204,0.4069148936170212,0.2344444444444444,0.2752177355502771,0.4552380952380952,0.6146095717884131,0.0912722802704363
0.1,Cars,DTD,EuroSAT,GTSRB,SUN397,0.5539112050739958,0.4164893617021276,0.2625925925925926,0.2956452889944576,0.4692063492063492,0.6216120906801007,0.094499078057775
0.15,Cars,DTD,EuroSAT,GTSRB,SUN397,0.5626165899763711,0.4308510638297872,0.3162962962962963,0.3190023752969121,0.4846031746031746,0.6306297229219143,0.0997618315918869
0.2,Cars,DTD,EuroSAT,GTSRB,SUN397,0.573933590349459,0.4462765957446808,0.4029629629629629,0.3422802850356294,0.5042857142857143,0.6394962216624686,0.1072526121696373
0.25,Cars,DTD,EuroSAT,GTSRB,SUN397,0.5886083820420346,0.4569148936170212,0.4518518518518518,0.3676167854315122,0.52,0.647455919395466,0.1159342347879532
0.3,Cars,DTD,EuroSAT,GTSRB,SUN397,0.59930356920781,0.4734042553191489,0.4962962962962963,0.3939034045922407,0.53,0.6477078085642317,0.1210817455439459
0.35,Cars,DTD,EuroSAT,GTSRB,SUN397,0.6039049869419226,0.4803191489361702,0.5266666666666666,0.4158353127474267,0.5361904761904762,0.6441813602015113,0.1210433312845728
0.4,Cars,DTD,EuroSAT,GTSRB,SUN397,0.611366745429673,0.4952127659574468,0.5425925925925926,0.4316706254948535,0.5290476190476191,0.635919395465995,0.1169330055316533
0.45,Cars,DTD,EuroSAT,GTSRB,SUN397,0.6117398333540605,0.4952127659574468,0.5366666666666666,0.4320665083135392,0.5233333333333333,0.624080604534005,0.1082513829133374
0.5,Cars,DTD,EuroSAT,GTSRB,SUN397,0.6077602288272603,0.4930851063829787,0.5162962962962963,0.426049089469517,0.4992063492063492,0.6096221662468514,0.1003764597418561
0.55,Cars,DTD,EuroSAT,GTSRB,SUN397,0.5942047009078473,0.4808510638297872,0.4133333333333333,0.4090261282660332,0.4652380952380952,0.5932493702770781,0.1014136447449293
0.6000000000000001,Cars,DTD,EuroSAT,GTSRB,SUN397,0.5764208431787091,0.4654255319148936,0.304074074074074,0.3783847980997624,0.4126984126984127,0.5721914357682619,0.1296481253841425
0.65,Cars,DTD,EuroSAT,GTSRB,SUN397,0.5417236662106704,0.4329787234042553,0.2077777777777777,0.3330166270783848,0.3541269841269841,0.5417632241813602,0.1466656422864167
0.7000000000000001,Cars,DTD,EuroSAT,GTSRB,SUN397,0.4886208183061808,0.4058510638297872,0.1481481481481481,0.2936658749010293,0.2992063492063492,0.5017632241813602,0.1314920098340504
0.75,Cars,DTD,EuroSAT,GTSRB,SUN397,0.413754508145753,0.3579787234042553,0.1237037037037037,0.2540775930324624,0.2449206349206349,0.4501259445843829,0.1017977873386601
0.8,Cars,DTD,EuroSAT,GTSRB,SUN397,0.3332918791195125,0.2920212765957446,0.1055555555555555,0.2049089469517023,0.1895238095238095,0.3829219143576826,0.0981484326982175
0.8500000000000001,Cars,DTD,EuroSAT,GTSRB,SUN397,0.2632757119761224,0.251595744680851,0.0985185185185185,0.1576405384006334,0.129047619047619,0.3113853904282115,0.079978488014751
0.9,Cars,DTD,EuroSAT,GTSRB,SUN397,0.1884094018156945,0.2202127659574468,0.0981481481481481,0.131353919239905,0.0946031746031746,0.2371788413098236,0.0832052858020897
0.95,Cars,DTD,EuroSAT,GTSRB,SUN397,0.1267255316502922,0.1856382978723404,0.1018518518518518,0.1178147268408551,0.0717460317460317,0.1729974811083123,0.0883143822987092
1.0,Cars,DTD,EuroSAT,GTSRB,SUN397,0.0793433652530779,0.152127659574468,0.0933333333333333,0.1072842438638163,0.0549206349206349,0.1190931989924433,0.08869852489244
0.0,Cars,DTD,EuroSAT,GTSRB,SVHN,0.5365004352692451,0.400531914893617,0.2185185185185185,0.2635787806809184,0.4479365079365079,0.6108816120906801,0.0890826674861708
0.05,Cars,DTD,EuroSAT,GTSRB,SVHN,0.5433403805496829,0.4079787234042553,0.2333333333333333,0.2783847980997624,0.4528571428571428,0.6128967254408061,0.0945759065765212
0.1,Cars,DTD,EuroSAT,GTSRB,SVHN,0.5520457654520582,0.4186170212765957,0.26,0.301187648456057,0.4642857142857143,0.6157178841309824,0.1067532267977873
0.15,Cars,DTD,EuroSAT,GTSRB,SVHN,0.561372963561746,0.4308510638297872,0.307037037037037,0.3285827395091053,0.4798412698412698,0.62,0.1291103257529194
