dataset:0,dataset:1,dataset:2,dataset:3,dataset:4,dataset:5,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN
Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,0.7925631140405422,0.6930851063829787,0.585925925925926,0.26856690419635787,0.4685714285714286,0.5881612090680101,0.13418100799016594
Cars,DTD,EuroSAT,GTSRB,RESISC45,SVHN,0.7972888944161174,0.698404255319149,0.5751851851851851,0.2576405384006334,0.49777777777777776,0.6164735516372796,0.1120159803318992
Cars,DTD,EuroSAT,GTSRB,SUN397,SVHN,0.7948016415868673,0.6872340425531915,0.5807407407407408,0.2596199524940618,0.49603174603174605,0.603727959697733,0.09215580823601721
Cars,DTD,EuroSAT,RESISC45,SUN397,SVHN,0.7981594329063549,0.6925531914893617,0.597037037037037,0.2648456057007126,0.47888888888888886,0.5936020151133501,0.1502381684081131
Cars,DTD,GTSRB,RESISC45,SUN397,SVHN,0.8048750155453301,0.7042553191489361,0.3325925925925926,0.3768804433887569,0.4720634920634921,0.6024685138539043,0.13825291948371235
Cars,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.7803755751772168,0.3941489361702128,0.9677777777777777,0.43935075217735553,0.4523809523809524,0.6059949622166246,0.17297940995697603
DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.5653525680885462,0.6797872340425531,0.9718518518518519,0.420110847189232,0.45904761904761904,0.5961209068010076,0.1958358942839582
