scaling_factor,k,dataset:0,dataset:1,dataset:2,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN
0.0,0.25,Cars,DTD,EuroSAT,0.5365004352692451,0.400531914893617,0.21851851851851853,0.26357878068091845,0.4479365079365079,0.6108816120906801,0.08908266748617087
0.25,0.25,Cars,DTD,EuroSAT,0.5414749409277453,0.41117021276595744,0.22666666666666666,0.2695961995249406,0.4534920634920635,0.6130478589420655,0.08942839582052858
0.5,0.25,Cars,DTD,EuroSAT,0.5474443477179455,0.4271276595744681,0.2388888888888889,0.2831353919239905,0.4649206349206349,0.6155163727959698,0.08942839582052858
0.75,0.25,Cars,DTD,EuroSAT,0.5485636114911081,0.45478723404255317,0.2607407407407407,0.29873317498020585,0.47603174603174603,0.6171284634760705,0.09000460971112477
1.0,0.25,Cars,DTD,EuroSAT,0.5495585126228081,0.4819148936170213,0.327037037037037,0.31536025336500395,0.4892063492063492,0.6145088161209068,0.09084972341733251
0.0,0.5,Cars,DTD,EuroSAT,0.5365004352692451,0.400531914893617,0.21851851851851853,0.26357878068091845,0.4479365079365079,0.6108816120906801,0.08908266748617087
0.25,0.5,Cars,DTD,EuroSAT,0.548314886208183,0.4207446808510638,0.25222222222222224,0.2765637371338084,0.4596825396825397,0.6151637279596978,0.09038875230485556
0.5,0.5,Cars,DTD,EuroSAT,0.5611242382788211,0.4563829787234043,0.35962962962962963,0.29493269992082344,0.4793650793650794,0.6215617128463476,0.09300092194222495
0.75,0.5,Cars,DTD,EuroSAT,0.573933590349459,0.4957446808510638,0.45111111111111113,0.3072842438638163,0.49253968253968256,0.6213098236775819,0.09830208973570989
1.0,0.5,Cars,DTD,EuroSAT,0.5801517224225843,0.5409574468085107,0.4948148148148148,0.307680126682502,0.4903174603174603,0.604735516372796,0.10083743085433312
0.0,0.75,Cars,DTD,EuroSAT,0.5365004352692451,0.400531914893617,0.21851851851851853,0.26357878068091845,0.4479365079365079,0.6108816120906801,0.08908266748617087
0.25,0.75,Cars,DTD,EuroSAT,0.5484392488496456,0.41808510638297874,0.25925925925925924,0.27458432304038005,0.46174603174603174,0.6155163727959698,0.09004302397049785
0.5,0.75,Cars,DTD,EuroSAT,0.5617460514861335,0.4563829787234043,0.37777777777777777,0.289944576405384,0.48444444444444446,0.6235768261964736,0.0910417947141979
0.75,0.75,Cars,DTD,EuroSAT,0.5781619201591842,0.4909574468085106,0.47333333333333333,0.2990498812351544,0.5033333333333333,0.6234760705289673,0.09330823601720958
