scaling_factor,dataset:0,dataset:1,dataset:2,dataset:3,dataset:4,dataset:5,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN
0.0,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,0.5365004352692451,0.400531914893617,0.21851851851851853,0.26357878068091845,0.4479365079365079,0.6108816120906801,0.08908266748617087
0.05,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,0.5522944907349832,0.4122340425531915,0.2511111111111111,0.28630245447347585,0.47634920634920636,0.618639798488665,0.09446066379840197
0.1,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,0.5631140405422211,0.425,0.28703703703703703,0.3004750593824228,0.5020634920634921,0.6253400503778338,0.09964658881376767
0.15000000000000002,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,0.5745554035567716,0.4324468085106383,0.3396296296296296,0.3121931908155186,0.5212698412698412,0.631183879093199,0.10513982790411801
0.2,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,0.5858724039298595,0.44574468085106383,0.4025925925925926,0.3273159144893112,0.5382539682539682,0.6355667506297229,0.11163183773816841
0.25,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,0.5927123492102973,0.4473404255319149,0.44851851851851854,0.3384006334125099,0.556984126984127,0.6372795969773299,0.11804701905347265
0.30000000000000004,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,0.600547195622435,0.45797872340425533,0.482962962962963,0.34782264449722883,0.5723809523809524,0.6387405541561713,0.12465427166564229
0.35000000000000003,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,0.6062678771297102,0.4632978723404255,0.5103703703703704,0.3582739509105305,0.5865079365079365,0.6410075566750629,0.129840196681008
0.4,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,0.6123616465613729,0.46702127659574466,0.5333333333333333,0.3676959619952494,0.5958730158730159,0.6411586901763224,0.13475722188076214
0.45,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,0.6170874269369482,0.4718085106382979,0.5511111111111111,0.3752969121140142,0.6019047619047619,0.6418639798488665,0.13952059004302397
0.5,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,0.6210670314637483,0.474468085106383,0.5725925925925925,0.38273950910530485,0.6042857142857143,0.6397984886649875,0.14305470190534728
0.55,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,0.6256684491978609,0.4734042553191489,0.5803703703703704,0.38788598574821853,0.6080952380952381,0.6388413098236776,0.14547480024585127
0.6000000000000001,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,0.6276582514612611,0.475,0.5914814814814815,0.39429928741092635,0.6114285714285714,0.6366246851385391,0.14804855562384758
0.65,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,0.6291506031588111,0.47393617021276596,0.5985185185185186,0.3987331749802059,0.6104761904761905,0.6349622166246851,0.14989244007375538
0.7000000000000001,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,0.6292749658002736,0.47393617021276596,0.6044444444444445,0.40150435471100554,0.6090476190476191,0.6313853904282116,0.15092962507682853
0.75,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,0.6291506031588111,0.4734042553191489,0.6051851851851852,0.40427553444180525,0.6092063492063492,0.6287153652392947,0.15192839582052858
0.8,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,0.6300211416490487,0.4675531914893617,0.6048148148148148,0.40783847980997623,0.6065079365079366,0.62544080604534,0.15238936693300553
0.8500000000000001,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,0.6285287899514985,0.4654255319148936,0.6011111111111112,0.41108471892319876,0.6034920634920635,0.6219143576826196,0.15223570989551322
0.9,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,0.627906976744186,0.4648936170212766,0.5937037037037037,0.4134600158353127,0.6017460317460317,0.6184382871536523,0.15200522433927474
0.9500000000000001,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,0.6246735480661609,0.4643617021276596,0.5837037037037037,0.4126682501979414,0.5988888888888889,0.6137531486146096,0.15165949600491702
1.0,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,0.6234299216515359,0.4627659574468085,0.5659259259259259,0.4131433095803642,0.5936507936507937,0.6099748110831235,0.15146742470805163
0.0,Cars,DTD,EuroSAT,GTSRB,RESISC45,SVHN,0.5365004352692451,0.400531914893617,0.21851851851851853,0.26357878068091845,0.4479365079365079,0.6108816120906801,0.08908266748617087
0.05,Cars,DTD,EuroSAT,GTSRB,RESISC45,SVHN,0.5517970401691332,0.4117021276595745,0.25222222222222224,0.2859857482185273,0.4741269841269841,0.6159697732997481,0.10302704363859864
0.1,Cars,DTD,EuroSAT,GTSRB,RESISC45,SVHN,0.5614973262032086,0.4223404255319149,0.2885185185185185,0.30364212193190815,0.49984126984126986,0.6205037783375315,0.12150430239704979
0.15000000000000002,Cars,DTD,EuroSAT,GTSRB,RESISC45,SVHN,0.5735605024250715,0.4340425531914894,0.34703703703703703,0.3197149643705463,0.5196825396825396,0.623022670025189,0.1461662569145667
0.2,Cars,DTD,EuroSAT,GTSRB,RESISC45,SVHN,0.5826389752518344,0.44680851063829785,0.4085185185185185,0.33317498020585906,0.5393650793650794,0.6258942065491184,0.17789643515673018
0.25,Cars,DTD,EuroSAT,GTSRB,RESISC45,SVHN,0.5920905360029847,0.4521276595744681,0.4474074074074074,0.3453681710213777,0.5573015873015873,0.6275566750629723,0.22099723417332515
0.30000000000000004,Cars,DTD,EuroSAT,GTSRB,RESISC45,SVHN,0.5969406790200223,0.45585106382978724,0.47962962962962963,0.35795724465558193,0.5750793650793651,0.6282619647355163,0.27489244007375535
0.35000000000000003,Cars,DTD,EuroSAT,GTSRB,RESISC45,SVHN,0.6037806243004601,0.4648936170212766,0.49444444444444446,0.3691211401425178,0.5917460317460318,0.6285138539042822,0.3432698217578365
