dataset:0,dataset:1,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN
Cars,DTD,0.6175848775027981,0.5893617021276596,0.1985185185185185,0.27387173396674586,0.4777777777777778,0.5697732997481109,0.10003073140749846
Cars,EuroSAT,0.6364879990050989,0.4106382978723404,0.9118518518518518,0.26809184481393505,0.4633333333333333,0.6163224181360202,0.07890288875230486
Cars,GTSRB,0.6241760975003109,0.4031914893617021,0.2088888888888889,0.7704671417260491,0.48603174603174604,0.6034256926952141,0.19456822372464658
Cars,RESISC45,0.6417112299465241,0.40585106382978725,0.3340740740740741,0.2576405384006334,0.7992063492063493,0.5934508816120907,0.11163183773816841
Cars,SUN397,0.6887203084193508,0.4186170212765957,0.3137037037037037,0.2721298495645289,0.5203174603174603,0.6527959697732998,0.11493546404425323
Cars,SVHN,0.6604899888073623,0.4015957446808511,0.19,0.2946159936658749,0.49412698412698414,0.5956675062972292,0.8443838352796558
DTD,EuroSAT,0.5333913692326825,0.49042553191489363,0.8855555555555555,0.2821852731591449,0.47,0.5945088161209068,0.07871081745543945
DTD,GTSRB,0.4964556647183186,0.4776595744680851,0.22074074074074074,0.728978622327791,0.4873015873015873,0.5614609571788413,0.2155039950829748
DTD,RESISC45,0.5026737967914439,0.5037234042553191,0.26481481481481484,0.2879651623119557,0.7374603174603175,0.5865491183879094,0.11885371850030732
DTD,SUN397,0.5229449073498321,0.597872340425532,0.20925925925925926,0.2889944576405384,0.4934920634920635,0.6168765743073048,0.10817455439459127
DTD,SVHN,0.4986941922646437,0.524468085106383,0.13925925925925925,0.2862232779097387,0.4249206349206349,0.5252896725440807,0.7866087891825445
EuroSAT,GTSRB,0.5281681382912573,0.4085106382978723,0.4374074074074074,0.6879651623119557,0.4820634920634921,0.6021662468513854,0.1568838352796558
EuroSAT,RESISC45,0.5285412262156448,0.41329787234042553,0.7588888888888888,0.27276326207442597,0.6711111111111111,0.6160201511335013,0.0923478795328826
EuroSAT,SUN397,0.531525929610745,0.41436170212765955,0.9425925925925925,0.258590657165479,0.45634920634920634,0.6283123425692695,0.08305162876459742
EuroSAT,SVHN,0.5406044024375077,0.4154255319148936,0.7551851851851852,0.3037212984956453,0.45841269841269844,0.610831234256927,0.6171634910878918
GTSRB,RESISC45,0.4630021141649049,0.3638297872340426,0.32222222222222224,0.6884402216943785,0.710952380952381,0.5737027707808564,0.2036339889366933
GTSRB,SUN397,0.5314015669692824,0.40638297872340423,0.23666666666666666,0.7930324623911322,0.4919047619047619,0.6370780856423174,0.20797480024585127
GTSRB,SVHN,0.5299092152717324,0.40425531914893614,0.21333333333333335,0.6684085510688836,0.4919047619047619,0.6062468513853905,0.6292255685310387
RESISC45,SUN397,0.5139907971645318,0.4175531914893617,0.3351851851851852,0.2608076009501188,0.836031746031746,0.6258438287153653,0.12015980331899201
RESISC45,SVHN,0.5162293247108568,0.3797872340425532,0.23222222222222222,0.2555027711797308,0.7579365079365079,0.572544080604534,0.8248309772587584
SUN397,SVHN,0.5493097873398831,0.4085106382978723,0.20037037037037037,0.288756927949327,0.49174603174603176,0.6568261964735517,0.8567532267977873
