scaling_factor,dataset:0,dataset:1,dataset:2,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN
0.0,Cars,DTD,EuroSAT,0.5365004352692451,0.400531914893617,0.21851851851851853,0.26357878068091845,0.4479365079365079,0.6108816120906801,0.08908266748617087
0.05,Cars,DTD,EuroSAT,0.5419723914935953,0.40372340425531916,0.23148148148148148,0.266270783847981,0.45174603174603173,0.6121410579345088,0.08919791026429011
0.1,Cars,DTD,EuroSAT,0.5484392488496456,0.4122340425531915,0.25,0.27125890736342045,0.45714285714285713,0.61455919395466,0.08988936693300553
0.15000000000000002,Cars,DTD,EuroSAT,0.5576420843178709,0.4218085106382979,0.27925925925925926,0.2762470308788599,0.46634920634920635,0.6171788413098237,0.08985095267363245
0.2,Cars,DTD,EuroSAT,0.5670936450690213,0.43031914893617024,0.3277777777777778,0.28250197941409344,0.4766666666666667,0.6208564231738035,0.09015826674861709
0.25,Cars,DTD,EuroSAT,0.5749284914811591,0.4441489361702128,0.4014814814814815,0.28630245447347585,0.48428571428571426,0.6244332493702771,0.09073448063921327
0.30000000000000004,Cars,DTD,EuroSAT,0.587737843551797,0.45372340425531915,0.4474074074074074,0.29121140142517815,0.4936507936507937,0.6273551637279597,0.09157959434542103
0.35000000000000003,Cars,DTD,EuroSAT,0.5974381295858724,0.46702127659574466,0.4840740740740741,0.2936658749010293,0.5004761904761905,0.6294710327455919,0.09204056545789797
0.4,Cars,DTD,EuroSAT,0.6087551299589603,0.48404255319148937,0.524074074074074,0.2953285827395091,0.5052380952380953,0.6282619647355163,0.09277043638598648
0.45,Cars,DTD,EuroSAT,0.6185797786344982,0.49840425531914895,0.5496296296296296,0.2977038796516231,0.5015873015873016,0.6242821158690176,0.09303933620159803
0.5,Cars,DTD,EuroSAT,0.6252953612734734,0.5101063829787233,0.572962962962963,0.29493269992082344,0.4988888888888889,0.6180856423173804,0.09227105101413645
0.55,Cars,DTD,EuroSAT,0.6320109439124487,0.5143617021276595,0.5840740740740741,0.29010292953285827,0.4988888888888889,0.6095214105793451,0.09027350952673632
0.6000000000000001,Cars,DTD,EuroSAT,0.6333789329685362,0.5255319148936171,0.5907407407407408,0.284639746634996,0.4934920634920635,0.5970780856423173,0.08727719729563614
0.65,Cars,DTD,EuroSAT,0.6300211416490487,0.5260638297872341,0.5855555555555556,0.28020585906571654,0.47968253968253965,0.5830226700251889,0.08293638598647818
0.7000000000000001,Cars,DTD,EuroSAT,0.6230568337271484,0.5218085106382979,0.5581481481481482,0.27862232779097384,0.46206349206349207,0.5665491183879093,0.07848033189920098
0.75,Cars,DTD,EuroSAT,0.611864195995523,0.525,0.5214814814814814,0.271021377672209,0.43746031746031744,0.5497732997481108,0.07387062077443148
0.8,Cars,DTD,EuroSAT,0.5983086680761099,0.5196808510638298,0.4437037037037037,0.25637371338083925,0.3958730158730159,0.5292191435768262,0.07075906576521204
0.8500000000000001,Cars,DTD,EuroSAT,0.5697052605397339,0.4925531914893617,0.34185185185185185,0.23950910530482977,0.3547619047619048,0.5041309823677582,0.07145052243392748
0.9,Cars,DTD,EuroSAT,0.5302823031961199,0.4664893617021277,0.24444444444444444,0.2156769596199525,0.31063492063492065,0.47062972292191435,0.07913337430854334
0.9500000000000001,Cars,DTD,EuroSAT,0.4806616092525805,0.43138297872340425,0.18,0.18353127474267616,0.2563492063492063,0.4352141057934509,0.09607406269207129
1.0,Cars,DTD,EuroSAT,0.4253202338017659,0.39574468085106385,0.13407407407407407,0.1486935866983373,0.2126984126984127,0.3945088161209068,0.11132452366318378
0.0,Cars,DTD,GTSRB,0.5365004352692451,0.400531914893617,0.21851851851851853,0.26357878068091845,0.4479365079365079,0.6108816120906801,0.08908266748617087
0.05,Cars,DTD,GTSRB,0.5419723914935953,0.40425531914893614,0.2174074074074074,0.27220902612826603,0.45095238095238094,0.6114357682619648,0.09061923786109403
0.1,Cars,DTD,GTSRB,0.5499316005471956,0.4106382978723404,0.21925925925925926,0.2880443388756928,0.45476190476190476,0.6137531486146096,0.09246312231100184
0.15000000000000002,Cars,DTD,GTSRB,0.5568959084690959,0.42340425531914894,0.21703703703703703,0.3083927157561362,0.46285714285714286,0.616926952141058,0.09484480639213276
0.2,Cars,DTD,GTSRB,0.5659743812958588,0.4319148936170213,0.21962962962962962,0.33167062549485354,0.47,0.6195465994962217,0.09883988936693301
