scaling_factor,dataset:0,dataset:1,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN
0.0,Cars,DTD,0.5365004352692451,0.400531914893617,0.21851851851851853,0.26357878068091845,0.4479365079365079,0.6108816120906801,0.08908266748617087
0.05,Cars,DTD,0.548314886208183,0.4101063829787234,0.21962962962962962,0.2665083135391924,0.4526984126984127,0.6134005037783375,0.0897741241548863
0.1,Cars,DTD,0.5585126228081084,0.41595744680851066,0.21777777777777776,0.2693586698337292,0.45714285714285713,0.6150629722921914,0.09058082360172096
0.15000000000000002,Cars,DTD,0.5656012933714712,0.4218085106382979,0.21703703703703703,0.27149643705463183,0.4623809523809524,0.6178337531486147,0.09096496619545175
0.2,Cars,DTD,0.5740579529909215,0.43138297872340425,0.22037037037037038,0.2726049089469517,0.4658730158730159,0.6196977329974811,0.09134910878918255
0.25,Cars,DTD,0.5846287775152345,0.43457446808510636,0.2225925925925926,0.27505938242280287,0.4707936507936508,0.6219647355163728,0.09192532267977874
0.30000000000000004,Cars,DTD,0.5937072503419972,0.43829787234042555,0.22296296296296297,0.2773555027711797,0.4742857142857143,0.6236272040302266,0.09257836508912108
0.35000000000000003,Cars,DTD,0.6024126352443726,0.44468085106382976,0.22333333333333333,0.2779889152810768,0.4792063492063492,0.6256926952141058,0.09307775046097111
0.4,Cars,DTD,0.6078845914687228,0.451063829787234,0.22555555555555556,0.27806809184481396,0.483968253968254,0.6269521410579345,0.09380762138905963
0.45,Cars,DTD,0.614102723541848,0.45585106382978724,0.22740740740740742,0.2795724465558195,0.4853968253968254,0.6272544080604534,0.09430700676090965
0.5,Cars,DTD,0.6214401193881358,0.46063829787234045,0.2285185185185185,0.2808392715756136,0.48857142857142855,0.6277581863979849,0.09488322065150584
0.55,Cars,DTD,0.625917174480786,0.4664893617021277,0.23,0.28131433095803643,0.49063492063492065,0.6287657430730479,0.09592040565457897
0.6000000000000001,Cars,DTD,0.6303942295734362,0.4723404255319149,0.23074074074074075,0.28186856690419637,0.49317460317460315,0.6294206549118387,0.09641979102642902
0.65,Cars,DTD,0.6351200099490113,0.4787234042553192,0.23407407407407407,0.2826603325415677,0.4965079365079365,0.629823677581864,0.09680393362015981
0.7000000000000001,Cars,DTD,0.6393483397587365,0.4856382978723404,0.24037037037037037,0.2838479809976247,0.49746031746031744,0.629823677581864,0.09749539028887523
0.75,Cars,DTD,0.6430792190026117,0.48617021276595745,0.2525925925925926,0.28297703879651626,0.5011111111111111,0.6295214105793451,0.09803318992009834
0.8,Cars,DTD,0.6455664718318617,0.4920212765957447,0.26851851851851855,0.2828978622327791,0.5020634920634921,0.6290680100755668,0.09857098955132144
0.8500000000000001,Cars,DTD,0.6466857356050243,0.49840425531914895,0.28703703703703703,0.2838479809976247,0.5033333333333333,0.6290680100755668,0.0994161032575292
0.9,Cars,DTD,0.6484268125854993,0.5015957446808511,0.2948148148148148,0.2833729216152019,0.5053968253968254,0.6283123425692695,0.10026121696373694
0.9500000000000001,Cars,DTD,0.6500435269245118,0.49946808510638296,0.29814814814814816,0.283452098178939,0.508095238095238,0.6271536523929471,0.10099108789182544
1.0,Cars,DTD,0.650789702773287,0.5031914893617021,0.30037037037037034,0.28281868566904195,0.5088888888888888,0.6257430730478589,0.10160571604179472
0.0,Cars,EuroSAT,0.5365004352692451,0.400531914893617,0.21851851851851853,0.26357878068091845,0.4479365079365079,0.6108816120906801,0.08908266748617087
