dataset:0,dataset:1,dataset:2,dataset:3,dataset:4,dataset:5,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN
Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,0.5789080960079592,0.4377659574468085,0.37,0.31718131433095803,0.5271428571428571,0.6322418136020151,0.10713736939151813
Cars,DTD,EuroSAT,GTSRB,RESISC45,SVHN,0.5769182937445592,0.4377659574468085,0.37296296296296294,0.32494061757719717,0.5265079365079365,0.6242821158690176,0.15580823601720958
Cars,DTD,EuroSAT,GTSRB,SUN397,SVHN,0.5784106454421092,0.43563829787234043,0.3685185185185185,0.32676167854315125,0.49587301587301585,0.6307304785894207,0.1556161647203442
Cars,DTD,EuroSAT,RESISC45,SUN397,SVHN,0.5791568212908842,0.43882978723404253,0.37962962962962965,0.2771179730799683,0.5296825396825396,0.6331486146095718,0.14681929932390902
Cars,DTD,GTSRB,RESISC45,SUN397,SVHN,0.5780375575177217,0.43670212765957445,0.24259259259259258,0.3201900237529691,0.5282539682539683,0.6328463476070529,0.15849723417332515
Cars,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.5774157443104092,0.4218085106382979,0.38,0.3209026128266033,0.5306349206349207,0.6322418136020151,0.1587661339889367
DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.5512995896032832,0.43670212765957445,0.3685185185185185,0.322486144101346,0.5295238095238095,0.6304282115869018,0.15953441917639827
