scaling_factor,k,dataset:0,dataset:1,dataset:2,dataset:3,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN
0.0,0.25,Cars,DTD,EuroSAT,GTSRB,0.5365004352692451,0.400531914893617,0.2185185185185185,0.2635787806809184,0.4479365079365079,0.6108816120906801,0.0890826674861708
0.25,0.25,Cars,DTD,EuroSAT,GTSRB,0.5563984579032458,0.4186170212765957,0.2955555555555555,0.31187648456057,0.4692063492063492,0.6170780856423174,0.0965350338045482
0.5,0.25,Cars,DTD,EuroSAT,GTSRB,0.5725656012933714,0.4377659574468085,0.4322222222222222,0.3486144101346001,0.4846031746031746,0.6209571788413099,0.103718500307314
0.75,0.25,Cars,DTD,EuroSAT,GTSRB,0.5858724039298595,0.45,0.5077777777777778,0.3762470308788598,0.4949206349206349,0.6233249370277079,0.1113629379225568
1.0,0.25,Cars,DTD,EuroSAT,GTSRB,0.5959457778883224,0.4627659574468085,0.5762962962962963,0.4045130641330166,0.5011111111111111,0.623022670025189,0.1175092194222495
0.0,0.5,Cars,DTD,EuroSAT,GTSRB,0.5365004352692451,0.400531914893617,0.2185185185185185,0.2635787806809184,0.4479365079365079,0.6108816120906801,0.0890826674861708
0.25,0.5,Cars,DTD,EuroSAT,GTSRB,0.5555279194130084,0.4154255319148936,0.2822222222222222,0.3013460015835312,0.4655555555555555,0.6162216624685138,0.0950368776889981
0.5,0.5,Cars,DTD,EuroSAT,GTSRB,0.5689590846909588,0.4340425531914894,0.3881481481481481,0.3332541567695962,0.4787301587301587,0.6200503778337532,0.1006069452980946
0.75,0.5,Cars,DTD,EuroSAT,GTSRB,0.5808978982713593,0.4446808510638297,0.472962962962963,0.357403008709422,0.490952380952381,0.623022670025189,0.1064074984634296
1.0,0.5,Cars,DTD,EuroSAT,GTSRB,0.5912199975127471,0.4531914893617021,0.5218518518518519,0.3801266825019794,0.4957142857142857,0.624080604534005,0.1121312231100184
0.0,0.75,Cars,DTD,EuroSAT,GTSRB,0.5365004352692451,0.400531914893617,0.2185185185185185,0.2635787806809184,0.4479365079365079,0.6108816120906801,0.0890826674861708
0.25,0.75,Cars,DTD,EuroSAT,GTSRB,0.5554035567715458,0.4154255319148936,0.2818518518518518,0.3014251781472684,0.4657142857142857,0.6160705289672544,0.094998463429625
0.5,0.75,Cars,DTD,EuroSAT,GTSRB,0.5689590846909588,0.4340425531914894,0.387037037037037,0.3328582739509105,0.4787301587301587,0.62,0.1004148740012292
0.75,0.75,Cars,DTD,EuroSAT,GTSRB,0.5807735356298968,0.4441489361702128,0.4722222222222222,0.3570863024544735,0.4907936507936508,0.6228715365239295,0.1061770129071911
1.0,0.75,Cars,DTD,EuroSAT,GTSRB,0.5902250963810471,0.4531914893617021,0.52,0.3797307996832937,0.4961904761904762,0.6238790931989925,0.1120928088506453
0.0,1.0,Cars,DTD,EuroSAT,GTSRB,0.5365004352692451,0.400531914893617,0.2185185185185185,0.2635787806809184,0.4479365079365079,0.6108816120906801,0.0890826674861708
0.25,1.0,Cars,DTD,EuroSAT,GTSRB,0.5551548314886208,0.4159574468085106,0.2818518518518518,0.3015043547110055,0.4655555555555555,0.6161712846347607,0.0950368776889981
0.5,1.0,Cars,DTD,EuroSAT,GTSRB,0.5689590846909588,0.4340425531914894,0.3862962962962963,0.3326999208234362,0.4787301587301587,0.6202518891687657,0.1003380454824831
0.75,1.0,Cars,DTD,EuroSAT,GTSRB,0.5808978982713593,0.4446808510638297,0.47,0.3568487727632621,0.4907936507936508,0.6228715365239295,0.106138598647818
1.0,1.0,Cars,DTD,EuroSAT,GTSRB,0.5902250963810471,0.4537234042553191,0.5192592592592593,0.3793349168646081,0.496031746031746,0.6241813602015114,0.1120543945912722
0.0,0.25,Cars,DTD,EuroSAT,RESISC45,0.5365004352692451,0.400531914893617,0.2185185185185185,0.2635787806809184,0.4479365079365079,0.6108816120906801,0.0890826674861708
0.25,0.25,Cars,DTD,EuroSAT,RESISC45,0.5559010073373959,0.4218085106382979,0.3048148148148148,0.2718923198733175,0.4944444444444444,0.6184382871536523,0.0925015365703749
0.5,0.25,Cars,DTD,EuroSAT,RESISC45,0.5733117771421465,0.4404255319148936,0.4403703703703703,0.2760095011876484,0.5331746031746032,0.623022670025189,0.0953057775046097
0.75,0.25,Cars,DTD,EuroSAT,RESISC45,0.5867429424200971,0.4537234042553191,0.5411111111111111,0.2828186856690419,0.567936507936508,0.626095717884131,0.0968807621389059
1.0,0.25,Cars,DTD,EuroSAT,RESISC45,0.5958214152468598,0.4664893617021277,0.6418518518518519,0.2856690419635788,0.5931746031746031,0.626095717884131,0.0985325752919483
0.0,0.5,Cars,DTD,EuroSAT,RESISC45,0.5365004352692451,0.400531914893617,0.2185185185185185,0.2635787806809184,0.4479365079365079,0.6108816120906801,0.0890826674861708
0.25,0.5,Cars,DTD,EuroSAT,RESISC45,0.5540355677154583,0.4170212765957446,0.2933333333333333,0.2707046714172605,0.4868253968253968,0.6172292191435769,0.0920405654578979
0.5,0.5,Cars,DTD,EuroSAT,RESISC45,0.5685859967665713,0.4340425531914894,0.3874074074074074,0.2736342042755344,0.5195238095238095,0.6218136020151134,0.0948448063921327
0.75,0.5,Cars,DTD,EuroSAT,RESISC45,0.5817684367615968,0.4457446808510638,0.4892592592592593,0.27513855898654,0.5503174603174603,0.6251889168765743,0.0960356484326982
1.0,0.5,Cars,DTD,EuroSAT,RESISC45,0.5938316129834598,0.4601063829787234,0.5607407407407408,0.2795724465558195,0.5744444444444444,0.6273551637279597,0.0970344191763982
0.0,0.75,Cars,DTD,EuroSAT,RESISC45,0.5365004352692451,0.400531914893617,0.2185185185185185,0.2635787806809184,0.4479365079365079,0.6108816120906801,0.0890826674861708
0.25,0.75,Cars,DTD,EuroSAT,RESISC45,0.5536624797910707,0.4175531914893617,0.292962962962963,0.2707046714172605,0.4866666666666667,0.6173803526448363,0.0920021511985249
0.5,0.75,Cars,DTD,EuroSAT,RESISC45,0.5688347220494964,0.4335106382978723,0.3859259259259259,0.2737133808392716,0.5192063492063492,0.6218639798488665,0.0947679778733866
0.75,0.75,Cars,DTD,EuroSAT,RESISC45,0.5817684367615968,0.4457446808510638,0.4881481481481481,0.2749010292953285,0.5504761904761905,0.6250377833753149,0.0960356484326982
1.0,0.75,Cars,DTD,EuroSAT,RESISC45,0.5934585250590723,0.4601063829787234,0.56,0.2799683293745051,0.5744444444444444,0.6274055415617128,0.0969575906576521
