scaling_factor,dataset:0,dataset:1,dataset:2,dataset:3,dataset:4,dataset:5,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN
0.0,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,0.5365004352692451,0.400531914893617,0.21851851851851853,0.26357878068091845,0.4479365079365079,0.6108816120906801,0.08908266748617087
0.05,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,0.5406044024375077,0.40585106382978725,0.23222222222222222,0.27157561361836896,0.45841269841269844,0.6139546599496222,0.09088813767670559
0.1,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,0.5527919413008332,0.4196808510638298,0.2737037037037037,0.2920823436262866,0.490952380952381,0.6231738035264484,0.09611247695144437
0.15000000000000002,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,0.5649794801641587,0.4409574468085106,0.37333333333333335,0.31718131433095803,0.5312698412698412,0.6355163727959697,0.10483251382913338
0.2,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,0.5828877005347594,0.45797872340425533,0.4677777777777778,0.34790182106096595,0.5773015873015873,0.6437783375314862,0.11827750460971112
0.25,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,0.5930854371346848,0.474468085106383,0.5174074074074074,0.3790973871733967,0.611904761904762,0.6429722921914358,0.1269975414874001
0.30000000000000004,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,0.5971894043029474,0.4696808510638298,0.5633333333333334,0.40451306413301663,0.6331746031746032,0.6318387909319899,0.1272280270436386
0.35000000000000003,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,0.5976868548687975,0.4622340425531915,0.5685185185185185,0.41179730799683295,0.6261904761904762,0.6147103274559194,0.12430854333128458
0.4,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,0.5904738216639721,0.4531914893617021,0.4622222222222222,0.4016627078384798,0.5938095238095238,0.5880604534005037,0.1285341118623233
0.45,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,0.5692078099738839,0.43563829787234043,0.3503703703703704,0.37315914489311164,0.5252380952380953,0.5524937027707808,0.14197910264290103
